date	phase
1100-01-05T07:05:17	2
1100-01-12T02:14:58	3
1100-01-19T08:01:09	0
1100-01-27T10:34:08	1
1100-02-03T19:32:02	2
1100-02-10T10:53:20	3
1100-02-18T00:45:56	0
1100-02-26T05:35:52	1
1100-03-05T05:42:05	2
1100-03-11T20:57:14	3
1100-03-19T17:56:24	0
1100-03-27T20:44:25	1
1100-04-03T14:16:32	2
1100-04-10T08:44:02	3
1100-04-18T10:43:11	0
1100-04-26T07:39:38	1
1100-05-02T22:06:38	2
1100-05-09T22:16:06	3
1100-05-18T02:14:56	0
1100-05-25T15:03:03	1
1100-06-01T06:02:01	2
1100-06-08T13:30:08	3
1100-06-16T15:51:13	0
1100-06-23T20:13:18	1
1100-06-30T14:48:55	2
1100-07-08T06:14:45	3
1100-07-16T03:21:00	0
1100-07-23T00:42:25	1
1100-07-30T01:13:00	2
1100-08-06T23:58:23	3
1100-08-14T13:10:31	0
1100-08-21T06:00:53	1
1100-08-28T13:58:05	2
1100-09-05T17:43:16	3
1100-09-12T22:13:05	0
1100-09-19T13:28:16	1
1100-09-27T05:31:55	2
1100-10-05T10:19:18	3
1100-10-12T07:26:32	0
1100-10-19T00:06:12	1
1100-10-26T23:39:14	2
1100-11-04T00:51:42	3
1100-11-10T17:30:48	0
1100-11-17T14:30:24	1
1100-11-25T19:02:04	2
1100-12-03T12:59:24	3
1100-12-10T04:38:11	0
1100-12-17T08:37:41	1
1100-12-25T13:42:34	2
1101-01-01T22:54:33	3
1101-01-08T16:43:58	0
1101-01-16T05:28:40	1
1101-01-24T06:03:44	2
1101-01-31T07:11:51	3
1101-02-07T05:47:07	0
1101-02-15T03:04:40	1
1101-02-22T19:30:43	2
1101-03-01T14:37:32	3
1101-03-08T19:55:57	0
1101-03-16T23:05:53	1
1101-03-24T06:20:28	2
1101-03-30T22:02:55	3
1101-04-07T11:11:21	0
1101-04-15T15:52:21	1
1101-04-22T15:11:05	2
1101-04-29T06:21:59	3
1101-05-07T03:06:27	0
1101-05-15T04:54:06	1
1101-05-21T22:44:11	2
1101-05-28T16:28:18	3
1101-06-05T18:49:17	0
1101-06-13T14:36:20	1
1101-06-20T05:44:59	2
1101-06-27T05:05:37	3
1101-07-05T09:30:07	0
1101-07-12T21:51:34	1
1101-07-19T13:08:45	2
1101-07-26T20:31:59	3
1101-08-03T22:47:48	0
1101-08-11T03:42:32	1
1101-08-17T22:02:09	2
1101-08-25T14:24:29	3
1101-09-02T10:54:17	0
1101-09-09T09:17:22	1
1101-09-16T09:32:24	2
1101-09-24T09:39:12	3
1101-10-01T22:18:11	0
1101-10-08T15:49:37	1
1101-10-16T00:21:52	2
1101-10-24T04:51:36	3
1101-10-31T09:23:10	0
1101-11-07T00:34:32	1
1101-11-14T18:15:51	2
1101-11-22T22:41:24	3
1101-11-29T20:17:19	0
1101-12-06T12:34:15	1
1101-12-14T13:52:16	2
1101-12-22T14:05:54	3
1101-12-29T07:00:49	0
1102-01-05T04:11:46	1
1102-01-13T09:16:04	2
1102-01-21T02:27:23	3
1102-01-27T17:42:21	0
1102-02-03T22:47:46	1
1102-02-12T02:52:01	2
1102-02-19T11:43:42	3
1102-02-26T04:45:45	0
1102-03-05T18:46:47	1
1102-03-13T17:49:19	2
1102-03-20T18:34:14	3
1102-03-27T16:39:40	0
1102-04-04T14:19:14	1
1102-04-12T05:55:33	2
1102-04-19T00:10:43	3
1102-04-26T05:40:12	0
1102-05-04T08:04:18	1
1102-05-11T15:26:21	2
1102-05-18T05:59:14	3
1102-05-25T19:42:21	0
1102-06-02T23:21:03	1
1102-06-09T23:00:59	2
1102-06-16T13:22:46	3
1102-06-24T10:27:14	0
1102-07-02T11:57:43	1
1102-07-09T05:38:55	2
1102-07-15T23:26:52	3
1102-07-24T01:34:05	0
1102-07-31T22:02:42	1
1102-08-07T12:32:08	2
1102-08-14T12:48:13	3
1102-08-22T16:44:16	0
1102-08-30T06:03:50	1
1102-09-05T20:53:44	2
1102-09-13T05:28:15	3
1102-09-21T07:36:47	0
1102-09-28T12:50:54	1
1102-10-05T07:42:46	2
1102-10-13T00:51:19	3
1102-10-20T21:45:25	0
1102-10-27T19:33:08	1
1102-11-03T21:27:43	2
1102-11-11T21:45:29	3
1102-11-19T10:46:28	0
1102-11-26T03:27:07	1
1102-12-03T13:57:03	2
1102-12-11T18:25:39	3
1102-12-18T22:32:07	0
1102-12-25T13:35:58	1
1103-01-02T08:23:05	2
1103-01-10T12:52:58	3
1103-01-17T09:14:32	0
1103-01-24T02:26:44	1
1103-02-01T03:32:41	2
1103-02-09T03:38:21	3
1103-02-15T19:17:35	0
1103-02-22T17:43:41	1
1103-03-02T21:58:14	2
1103-03-10T14:18:35	3
1103-03-17T05:06:27	0
1103-03-24T10:43:33	1
1103-04-01T14:16:26	2
1103-04-08T21:35:38	3
1103-04-15T15:04:08	0
1103-04-23T04:35:24	1
1103-05-01T03:37:00	2
1103-05-08T02:49:37	3
1103-05-15T01:35:27	0
1103-05-22T22:27:20	1
1103-05-30T14:01:18	2
1103-06-06T07:31:26	3
1103-06-13T13:10:42	0
1103-06-21T15:25:45	1
1103-06-28T22:16:31	2
1103-07-05T13:06:57	3
1103-07-13T02:21:11	0
1103-07-21T06:41:46	1
1103-07-28T05:33:19	2
1103-08-03T20:50:07	3
1103-08-11T17:23:40	0
1103-08-19T19:46:25	1
1103-08-26T13:02:53	2
1103-09-02T07:40:18	3
1103-09-10T10:00:21	0
1103-09-18T06:40:44	1
1103-09-24T21:41:01	2
1103-10-01T22:17:08	3
1103-10-10T03:12:46	0
1103-10-17T15:53:04	1
1103-10-24T08:02:08	2
1103-10-31T16:44:53	3
1103-11-08T19:44:43	0
1103-11-16T00:08:02	1
1103-11-22T20:24:09	2
1103-11-30T14:07:22	3
1103-12-08T10:41:37	0
1103-12-15T08:14:53	1
1103-12-22T10:56:11	2
1103-12-30T12:18:47	3
1104-01-06T23:48:41	0
1104-01-13T16:58:39	1
1104-01-21T03:33:27	2
1104-01-29T08:45:01	3
1104-02-05T11:16:21	0
1104-02-12T02:55:14	1
1104-02-19T21:37:27	2
1104-02-28T01:34:33	3
1104-03-05T21:19:22	0
1104-03-12T14:30:54	1
1104-03-20T15:47:14	2
1104-03-28T14:13:44	3
1104-04-04T06:13:07	0
1104-04-11T04:01:27	1
1104-04-19T08:29:24	2
1104-04-26T23:10:36	3
1104-05-03T14:24:57	0
1104-05-10T19:25:56	1
1104-05-18T22:45:31	2
1104-05-26T05:25:15	3
1104-06-01T22:43:05	0
1104-06-09T12:17:38	1
1104-06-17T10:33:02	2
1104-06-24T10:11:15	3
1104-07-01T08:11:43	0
1104-07-09T05:45:46	1
1104-07-16T20:30:27	2
1104-07-23T14:49:09	3
1104-07-30T19:52:59	0
1104-08-07T22:52:46	1
1104-08-15T05:30:09	2
1104-08-21T20:44:22	3
1104-08-29T10:21:02	0
1104-09-06T14:53:20	1
1104-09-13T14:18:33	2
1104-09-20T05:21:56	3
1104-09-28T03:19:13	0
1104-10-06T05:20:10	1
1104-10-12T23:29:24	2
1104-10-19T17:51:30	3
1104-10-27T21:40:49	0
1104-11-04T17:57:35	1
1104-11-11T09:28:44	2
1104-11-18T10:39:16	3
1104-11-26T15:59:01	0
1104-12-04T04:38:36	1
1104-12-10T20:42:47	2
1104-12-18T06:58:31	3
1104-12-26T09:01:57	0
1105-01-02T13:33:38	1
1105-01-09T09:36:11	2
1105-01-17T04:51:05	3
1105-01-25T00:04:19	0
1105-01-31T21:19:43	1
1105-02-08T00:16:36	2
1105-02-16T01:56:13	3
1105-02-23T12:42:22	0
1105-03-02T04:55:47	1
1105-03-09T16:18:35	2
1105-03-17T20:26:03	3
1105-03-24T22:53:51	0
1105-03-31T13:25:52	1
1105-04-08T08:48:04	2
1105-04-16T11:25:10	3
1105-04-23T07:03:56	0
1105-04-29T23:41:32	1
1105-05-08T00:48:40	2
1105-05-15T22:43:55	3
1105-05-22T14:04:59	0
1105-05-29T12:10:15	1
1105-06-06T15:44:17	2
1105-06-14T06:48:31	3
1105-06-20T21:06:46	0
1105-06-28T02:53:08	1
1105-07-06T05:21:55	2
1105-07-13T12:34:31	3
1105-07-20T05:22:09	0
1105-07-27T19:30:38	1
1105-08-04T17:42:37	2
1105-08-11T17:20:37	3
1105-08-18T15:51:42	0
1105-08-26T13:29:29	1
1105-09-03T04:55:14	2
1105-09-09T22:39:18	3
1105-09-17T05:09:43	0
1105-09-25T08:02:18	1
1105-10-02T15:17:17	2
1105-10-09T06:03:09	3
1105-10-16T21:16:19	0
1105-10-25T02:02:39	1
1105-11-01T01:17:00	2
1105-11-07T16:44:58	3
1105-11-15T15:36:24	0
1105-11-23T18:12:39	1
1105-11-30T11:28:17	2
1105-12-07T07:14:03	3
1105-12-15T11:01:40	0
1105-12-23T07:31:49	1
1105-12-29T22:19:28	2
