date	phase
-0300-01-07T01:21:48	0
-0300-01-14T22:57:22	1
-0300-01-21T13:44:44	2
-0300-01-28T14:51:49	3
-0300-02-05T19:36:41	0
-0300-02-13T08:28:37	1
-0300-02-20T00:04:43	2
-0300-02-27T08:44:45	3
-0300-03-07T11:14:09	0
-0300-03-14T15:05:35	1
-0300-03-21T10:36:34	2
-0300-03-29T03:07:46	3
-0300-04-05T23:35:52	0
-0300-04-12T20:13:11	1
-0300-04-19T21:42:00	2
-0300-04-27T21:00:30	3
-0300-05-05T09:03:51	0
-0300-05-12T01:17:36	1
-0300-05-19T09:52:56	2
-0300-05-27T13:22:44	3
-0300-06-03T16:41:02	0
-0300-06-10T07:35:32	1
-0300-06-17T23:39:15	2
-0300-06-26T03:30:45	3
-0300-07-02T23:42:48	0
-0300-07-09T16:12:48	1
-0300-07-17T15:07:09	2
-0300-07-25T15:13:28	3
-0300-08-01T07:16:03	0
-0300-08-08T04:04:30	1
-0300-08-16T07:42:37	2
-0300-08-24T00:53:38	3
-0300-08-30T16:09:07	0
-0300-09-06T19:46:49	1
-0300-09-15T00:19:38	2
-0300-09-22T09:15:35	3
-0300-09-29T02:53:00	0
-0300-10-06T15:13:13	1
-0300-10-14T15:54:50	2
-0300-10-21T17:10:54	3
-0300-10-28T15:49:31	0
-0300-11-05T13:05:42	1
-0300-11-13T05:58:52	2
-0300-11-20T01:27:53	3
-0300-11-27T07:12:26	0
-0300-12-05T10:59:53	1
-0300-12-12T18:33:54	2
-0300-12-19T10:46:37	3
-0300-12-27T00:49:19	0
-0299-01-04T06:26:33	1
-0299-01-11T05:49:46	2
-0299-01-17T21:37:58	3
-0299-01-25T19:37:30	0
-0299-02-02T21:59:07	1
-0299-02-09T15:51:07	2
-0299-02-16T10:23:17	3
-0299-02-24T13:52:30	0
-0299-03-04T09:26:59	1
-0299-03-11T00:47:23	2
-0299-03-18T01:08:51	3
-0299-03-26T06:00:10	0
-0299-04-02T17:29:17	1
-0299-04-09T09:09:37	2
-0299-04-16T17:36:06	3
-0299-04-24T19:22:28	0
-0299-05-01T23:08:49	1
-0299-05-08T17:53:43	2
-0299-05-16T10:58:07	3
-0299-05-24T06:18:39	0
-0299-05-31T03:39:59	1
-0299-06-07T04:06:36	2
-0299-06-15T04:14:16	3
-0299-06-22T15:37:06	0
-0299-06-29T08:25:39	1
-0299-07-06T16:41:48	2
-0299-07-14T20:34:03	3
-0299-07-22T00:09:26	0
-0299-07-28T14:54:41	1
-0299-08-05T07:53:52	2
-0299-08-13T11:29:12	3
-0299-08-20T08:38:20	0
-0299-08-27T00:33:19	1
-0299-09-04T01:06:50	2
-0299-09-12T00:47:28	3
-0299-09-18T17:38:38	0
-0299-09-25T14:24:06	1
-0299-10-03T19:10:10	2
-0299-10-11T12:22:09	3
-0299-10-18T03:44:17	0
-0299-10-25T08:33:03	1
-0299-11-02T12:51:05	2
-0299-11-09T22:13:08	3
-0299-11-16T15:29:51	0
-0299-11-24T05:46:12	1
-0299-12-02T05:14:17	2
-0299-12-09T06:39:43	3
-0299-12-16T05:18:43	0
-0299-12-24T03:49:29	1
-0299-12-31T19:40:19	2
-0298-01-07T14:27:58	3
-0298-01-14T21:02:28	0
-0298-01-23T00:26:57	1
-0298-01-30T07:44:14	2
-0298-02-05T22:40:11	3
-0298-02-13T13:52:35	0
-0298-02-21T18:04:14	1
-0298-02-28T17:25:47	2
-0298-03-07T08:14:21	3
-0298-03-15T06:41:19	0
-0298-03-23T07:56:52	1
-0298-03-30T01:17:45	2
-0298-04-05T19:46:48	3
-0298-04-13T22:34:18	0
-0298-04-21T18:04:15	1
-0298-04-28T08:20:08	2
-0298-05-05T09:25:43	3
-0298-05-13T13:04:21	0
-0298-05-21T01:03:27	1
-0298-05-27T15:45:13	2
-0298-06-04T00:56:58	3
-0298-06-12T02:04:51	0
-0298-06-19T06:02:35	1
-0298-06-26T00:41:19	2
-0298-07-03T17:54:56	3
-0298-07-11T13:40:08	0
-0298-07-18T10:31:13	1
-0298-07-25T11:58:36	2
-0298-08-02T11:47:11	3
-0298-08-10T00:04:21	0
-0298-08-16T16:07:44	1
-0298-08-24T02:00:01	2
-0298-09-01T05:47:33	3
-0298-09-08T09:45:19	0
-0298-09-15T00:23:08	1
-0298-09-22T18:38:34	2
-0298-09-30T22:50:31	3
-0298-10-07T19:22:54	0
-0298-10-14T12:19:06	1
-0298-10-22T13:16:04	2
-0298-10-30T13:45:54	3
-0298-11-06T05:37:31	0
-0298-11-13T04:07:21	1
-0298-11-21T08:39:57	2
-0298-11-29T01:50:38	3
-0298-12-05T16:54:56	0
-0298-12-12T23:04:35	1
-0298-12-21T03:09:48	2
-0298-12-28T11:11:38	3
-0297-01-04T05:18:08	0
-0297-01-11T19:47:01	1
-0297-01-19T19:10:33	2
-0297-01-26T18:39:47	3
-0297-02-02T18:34:31	0
-0297-02-10T16:30:42	1
-0297-02-18T07:55:57	2
-0297-02-25T01:24:59	3
-0297-03-04T08:32:11	0
-0297-03-12T11:30:37	1
-0297-03-19T17:42:12	2
-0297-03-26T08:33:23	3
-0297-04-02T23:07:03	0
