date	phase
-1600-01-08T11:58:37	1
-1600-01-15T05:38:01	2
-1600-01-22T00:29:46	3
-1600-01-30T04:24:32	0
-1600-02-06T23:21:35	1
-1600-02-13T14:39:55	2
-1600-02-20T15:39:47	3
-1600-02-28T20:27:52	0
-1600-03-07T07:19:55	1
-1600-03-13T23:07:39	2
-1600-03-21T08:24:57	3
-1600-03-29T09:41:22	0
-1600-04-05T12:55:07	1
-1600-04-12T07:59:38	2
-1600-04-20T01:51:21	3
-1600-04-27T20:28:34	0
-1600-05-04T17:21:52	1
-1600-05-11T18:22:26	2
-1600-05-19T18:57:40	3
-1600-05-27T05:37:59	0
-1600-06-02T22:04:51	1
-1600-06-10T07:05:19	2
-1600-06-18T10:58:47	3
-1600-06-25T13:59:28	0
-1600-07-02T04:35:22	1
-1600-07-09T22:17:18	2
-1600-07-18T01:32:58	3
-1600-07-24T22:15:44	0
-1600-07-31T14:20:55	1
-1600-08-08T15:21:03	2
-1600-08-16T14:31:54	3
-1600-08-23T07:05:21	0
-1600-08-30T04:22:44	1
-1600-09-07T09:11:09	2
-1600-09-15T01:50:29	3
-1600-09-21T17:07:58	0
-1600-09-28T22:42:52	1
-1600-10-07T02:42:16	2
-1600-10-14T11:30:13	3
-1600-10-21T05:01:50	0
-1600-10-28T20:03:40	1
-1600-11-05T19:01:54	2
-1600-11-12T19:53:15	3
-1600-11-19T19:08:30	0
-1600-11-27T18:11:01	1
-1600-12-05T09:27:51	2
-1600-12-12T03:48:15	3
-1600-12-19T11:12:28	0
-1600-12-27T14:50:32	1
-1599-01-03T21:31:40	2
-1599-01-10T12:17:35	3
-1599-01-18T04:17:56	0
-1599-01-26T08:26:49	1
-1599-02-02T07:13:01	2
-1599-02-08T22:15:17	3
-1599-02-16T21:14:52	0
-1599-02-24T22:12:54	1
-1599-03-03T15:06:56	2
-1599-03-10T10:10:44	3
-1599-03-18T13:10:11	0
-1599-03-26T08:08:04	1
-1599-04-01T22:14:45	2
-1599-04-09T00:05:24	3
-1599-04-17T03:37:25	0
-1599-04-24T14:52:37	1
-1599-05-01T05:47:27	2
-1599-05-08T15:42:10	3
-1599-05-16T16:28:41	0
-1599-05-23T19:39:11	1
-1599-05-30T14:49:51	2
-1599-06-07T08:36:28	3
-1599-06-15T03:47:50	0
-1599-06-22T00:00:42	1
-1599-06-29T02:08:49	2
-1599-07-07T02:18:13	3
-1599-07-14T13:52:06	0
-1599-07-21T05:36:47	1
-1599-07-28T16:07:16	2
-1599-08-05T20:02:37	3
-1599-08-12T23:15:33	0
-1599-08-19T13:57:34	1
-1599-08-27T08:41:49	2
-1599-09-04T12:45:44	3
-1599-09-11T08:44:02	0
-1599-09-18T02:02:40	1
-1599-09-26T03:18:03	2
-1599-10-04T03:21:31	3
-1599-10-10T19:00:26	0
-1599-10-17T18:02:34	1
-1599-10-25T22:42:55	2
-1599-11-02T15:12:44	3
-1599-11-09T06:28:20	0
-1599-11-16T13:14:17	1
-1599-11-24T17:12:06	2
-1599-12-02T00:30:18	3
-1599-12-08T19:06:00	0
-1599-12-16T10:13:01	1
-1599-12-24T09:08:52	2
-1599-12-31T08:05:15	3
