date	phase
-2700-01-02T22:37:57	0
-2700-01-09T15:10:18	1
-2700-01-17T02:06:32	2
-2700-01-25T06:27:16	3
-2700-02-01T08:21:11	0
-2700-02-07T23:05:26	1
-2700-02-15T18:11:28	2
-2700-02-23T20:32:35	3
-2700-03-02T16:13:41	0
-2700-03-09T08:37:50	1
-2700-03-17T09:54:08	2
-2700-03-25T07:11:51	3
-2700-03-31T23:00:28	0
-2700-04-07T20:34:53	1
-2700-04-16T00:30:25	2
-2700-04-23T15:04:50	3
-2700-04-30T05:46:37	0
-2700-05-07T11:13:07	1
-2700-05-15T13:49:21	2
-2700-05-22T21:03:56	3
-2700-05-29T13:50:17	0
-2700-06-06T04:11:53	1
-2700-06-14T02:05:41	2
-2700-06-21T02:14:56	3
-2700-06-28T00:26:02	0
-2700-07-05T22:41:58	1
-2700-07-13T13:40:41	2
-2700-07-20T07:58:34	3
-2700-07-27T14:19:29	0
-2700-08-04T17:41:28	1
-2700-08-12T00:48:36	2
-2700-08-18T15:44:05	3
-2700-08-26T07:22:16	0
-2700-09-03T12:03:06	1
-2700-09-10T11:36:54	2
-2700-09-17T02:49:06	3
-2700-09-25T02:29:21	0
-2700-10-03T04:34:40	1
-2700-10-09T22:15:33	2
-2700-10-16T17:47:01	3
-2700-10-24T22:06:05	0
-2700-11-01T18:12:24	1
-2700-11-08T09:03:23	2
-2700-11-15T12:01:26	3
-2700-11-23T16:40:25	0
-2700-12-01T04:30:14	1
-2700-12-07T20:23:27	2
-2700-12-15T07:58:08	3
-2700-12-23T08:58:51	0
-2700-12-30T11:58:09	1
-2699-01-06T08:31:32	2
-2699-01-14T03:50:57	3
-2699-01-21T22:16:29	0
-2699-01-28T17:49:40	1
-2699-02-04T21:29:01	2
-2699-02-12T22:18:18	3
-2699-02-20T08:29:04	0
-2699-02-26T23:33:59	1
-2699-03-06T11:07:53	2
-2699-03-14T14:28:01	3
-2699-03-21T16:15:15	0
-2699-03-28T06:32:44	1
-2699-04-05T01:21:09	2
-2699-04-13T03:51:24	3
-2699-04-19T22:43:45	0
-2699-04-26T15:47:04	1
-2699-05-04T16:05:00	2
-2699-05-12T14:24:31	3
-2699-05-19T05:14:28	0
-2699-05-26T03:54:21	1
-2699-06-03T07:09:12	2
-2699-06-10T22:33:13	3
-2699-06-17T13:01:59	0
-2699-06-24T19:10:21	1
-2699-07-02T22:07:45	2
-2699-07-10T05:12:49	3
-2699-07-16T23:02:32	0
-2699-07-24T13:27:05	1
-2699-08-01T12:23:52	2
-2699-08-08T11:38:58	3
-2699-08-15T11:45:59	0
-2699-08-23T09:59:23	1
-2699-08-31T01:30:56	2
-2699-09-06T19:11:25	3
-2699-09-14T03:15:42	0
-2699-09-22T07:09:47	1
-2699-09-29T13:28:55	2
-2699-10-06T04:53:01	3
-2699-10-13T21:10:01	0
-2699-10-22T02:43:54	1
-2699-10-29T00:37:51	2
-2699-11-04T17:11:22	3
-2699-11-12T16:34:43	0
-2699-11-20T18:48:31	1
-2699-11-27T11:17:54	2
-2699-12-04T07:56:39	3
-2699-12-12T11:55:10	0
-2699-12-20T06:43:06	1
-2699-12-26T21:38:14	2
-2698-01-03T00:36:53	3
-2698-01-11T05:20:11	0
-2698-01-18T15:00:21	1
-2698-01-25T07:45:04	2
-2698-02-01T18:29:24	3
-2698-02-09T19:35:08	0
-2698-02-16T20:53:33	1
-2698-02-23T17:57:59	2
-2698-03-03T12:39:39	3
-2698-03-11T06:34:25	0
-2698-03-18T01:46:18	1
-2698-03-25T04:55:42	2
-2698-04-02T06:02:10	3
-2698-04-09T15:08:26	0
-2698-04-16T06:58:05	1
-2698-04-23T17:23:37	2
-2698-05-01T21:37:58	3
-2698-05-08T22:30:02	0
-2698-05-15T13:42:07	1
-2698-05-23T07:49:22	2
-2698-05-31T10:57:05	3
-2698-06-07T05:48:07	0
-2698-06-13T23:07:09	1
-2698-06-21T23:59:11	2
-2698-06-29T22:05:51	3
-2698-07-06T13:55:02	0
-2698-07-13T12:12:33	1
-2698-07-21T16:55:39	2
-2698-07-29T07:35:54	3
-2698-08-04T23:27:18	0
-2698-08-12T05:27:42	1
-2698-08-20T09:26:39	2
-2698-08-27T16:08:04	3
-2698-09-03T10:54:30	0
-2698-09-11T02:17:05	1
-2698-09-19T00:44:13	2
-2698-09-26T00:22:56	3
-2698-10-03T00:43:44	0
-2698-10-11T00:42:13	1
-2698-10-18T14:34:41	2
-2698-10-25T08:59:13	3
-2698-11-01T17:04:55	0
-2698-11-09T22:02:28	1
-2698-11-17T02:58:01	2
-2698-11-23T18:35:26	3
-2698-12-01T11:21:42	0
-2698-12-09T16:11:41	1
-2698-12-16T13:50:44	2
-2698-12-23T05:47:09	3
-2698-12-31T06:02:29	0
-2697-01-08T06:17:46	1
-2697-01-14T23:13:12	2
-2697-01-21T18:58:12	3
-2697-01-29T23:21:26	0
-2697-02-06T16:29:57	1
-2697-02-13T07:28:35	2
-2697-02-20T10:08:11	3
-2697-02-28T14:14:27	0
-2697-03-07T23:32:59	1
-2697-03-14T15:29:21	2
-2697-03-22T02:45:48	3
-2697-03-30T02:36:25	0
-2697-04-06T04:31:55	1
-2697-04-13T00:25:23	2
-2697-04-20T19:58:14	3
-2697-04-28T12:59:56	0
-2697-05-05T08:46:38	1
-2697-05-12T11:21:58	2
-2697-05-20T12:53:27	3
-2697-05-27T22:08:37	0
-2697-06-03T13:48:21	1
