date	phase
-2600-01-08T02:47:14	0
-2600-01-15T22:47:35	1
-2600-01-22T13:15:22	2
-2600-01-29T14:54:27	3
-2600-02-06T19:00:38	0
-2600-02-14T06:50:00	1
-2600-02-20T21:57:33	2
-2600-02-28T07:32:42	3
-2600-03-08T08:47:54	0
-2600-03-15T12:09:18	1
-2600-03-22T07:17:45	2
-2600-03-30T00:37:54	3
-2600-04-06T20:03:51	0
-2600-04-13T16:18:23	1
-2600-04-20T17:56:22	2
-2600-04-28T17:34:12	3
-2600-05-06T05:13:07	0
-2600-05-12T20:56:26	1
-2600-05-20T06:23:25	2
-2600-05-28T09:46:16	3
-2600-06-04T13:06:21	0
-2600-06-11T03:35:20	1
-2600-06-18T20:55:51	2
-2600-06-27T00:36:58	3
-2600-07-03T20:49:04	0
-2600-07-10T13:28:06	1
-2600-07-18T13:28:59	2
-2600-07-26T13:36:27	3
-2600-08-02T05:25:36	0
-2600-08-09T03:17:23	1
-2600-08-17T07:23:13	2
-2600-08-25T00:35:49	3
-2600-08-31T15:42:29	0
-2600-09-07T21:04:40	1
-2600-09-16T01:22:05	2
-2600-09-23T09:54:17	3
-2600-09-30T03:58:17	0
-2600-10-07T17:59:51	1
-2600-10-15T17:58:07	2
-2600-10-22T18:15:00	3
-2600-10-29T18:06:40	0
-2600-11-06T16:16:33	1
-2600-11-14T08:14:00	2
-2600-11-21T02:30:46	3
-2600-11-28T09:48:14	0
-2600-12-06T13:30:42	1
-2600-12-13T20:01:10	2
-2600-12-20T11:27:43	3
-2600-12-28T02:34:59	0
-2599-01-05T07:32:57	1
-2599-01-12T05:45:43	2
-2599-01-18T21:37:19	3
-2599-01-26T19:43:16	0
-2599-02-03T21:20:21	1
-2599-02-10T14:06:35	2
-2599-02-17T09:20:25	3
-2599-02-25T12:12:30	0
-2599-03-05T07:04:21	1
-2599-03-11T21:45:17	2
-2599-03-18T22:52:19	3
-2599-03-27T03:04:17	0
-2599-04-03T13:44:36	1
-2599-04-10T05:27:46	2
-2599-04-17T14:18:11	3
-2599-04-25T15:49:23	0
-2599-05-02T18:41:08	1
-2599-05-09T14:08:43	2
-2599-05-17T07:20:45	3
-2599-05-25T02:40:03	0
-2599-05-31T23:18:38	1
-2599-06-08T00:48:54	2
-2599-06-16T01:13:41	3
-2599-06-23T12:20:27	0
-2599-06-30T05:00:05	1
-2599-07-07T14:20:15	2
-2599-07-15T18:51:36	3
-2599-07-22T21:44:25	0
-2599-07-29T13:03:09	1
-2599-08-06T06:58:06	2
-2599-08-14T11:12:09	3
-2599-08-21T07:33:25	0
-2599-08-28T00:32:49	1
-2599-09-05T01:54:44	2
-2599-09-13T01:32:55	3
-2599-09-19T18:06:05	0
-2599-09-26T16:04:34	1
-2599-10-04T21:25:39	2
-2599-10-12T13:34:55	3
-2599-10-19T05:25:53	0
-2599-10-26T11:18:43	1
-2599-11-03T15:38:34	2
-2599-11-10T23:22:18	3
-2599-11-17T17:37:57	0
-2599-11-25T08:43:23	1
-2599-12-03T07:23:13	2
-2599-12-10T07:23:08	3
-2599-12-17T06:54:38	0
-2599-12-25T05:59:06	1
-2598-01-01T20:20:06	2
-2598-01-08T14:26:54	3
-2598-01-15T21:22:18	0
-2598-01-24T01:00:16	1
-2598-01-31T06:41:43	2
-2598-02-06T21:36:20	3
-2598-02-14T12:43:43	0
-2598-02-22T16:39:57	1
-2598-03-01T14:58:06	2
-2598-03-08T05:56:48	3
-2598-03-16T04:18:24	0
-2598-03-24T04:49:14	1
-2598-03-30T21:54:08	2
-2598-04-06T16:24:55	3
-2598-04-14T19:22:50	0
-2598-04-22T13:55:27	1
-2598-04-29T04:30:09	2
-2598-05-06T05:35:57	3
-2598-05-14T09:30:52	0
-2598-05-21T20:45:50	1
-2598-05-28T11:58:18	2
-2598-06-04T21:33:25	3
-2598-06-12T22:38:58	0
-2598-06-20T02:22:11	1
-2598-06-26T21:31:59	2
-2598-07-04T15:45:59	3
-2598-07-12T10:57:21	0
-2598-07-19T07:59:31	1
-2598-07-26T10:07:18	2
-2598-08-03T11:13:35	3
-2598-08-10T22:38:07	0
-2598-08-17T15:00:52	1
-2598-08-25T01:59:45	2
-2598-09-02T06:37:34	3
-2598-09-09T09:49:57	0
-2598-09-16T00:43:54	1
-2598-09-23T20:30:05	2
-2598-10-02T00:30:36	3
-2598-10-08T20:40:57	0
-2598-10-15T13:56:44	1
-2598-10-23T16:13:35	2
-2598-10-31T15:35:05	3
-2598-11-07T07:23:55	0
-2598-11-14T06:33:04	1
-2598-11-22T11:28:32	2
-2598-11-30T03:10:56	3
-2598-12-06T18:16:44	0
-2598-12-14T01:28:53	1
-2598-12-22T04:44:59	2
-2598-12-29T11:33:01	3
-2597-01-05T05:37:15	0
-2597-01-12T21:09:56	1
-2597-01-20T19:05:18	2
-2597-01-27T17:42:51	3
-2597-02-03T17:38:20	0
-2597-02-11T16:07:19	1
-2597-02-19T06:16:06	2
