date	phase
-3900-01-08T07:39:18	1
-3900-01-14T23:25:39	2
-3900-01-21T20:27:44	3
-3900-01-30T00:20:17	0
-3900-02-06T16:33:08	1
-3900-02-13T07:17:02	2
-3900-02-20T10:57:40	3
-3900-02-28T14:42:02	0
-3900-03-07T22:35:36	1
-3900-03-14T15:17:37	2
-3900-03-22T03:02:44	3
-3900-03-30T02:42:43	0
-3900-04-06T03:10:01	1
-3900-04-13T00:24:09	2
-3900-04-20T20:13:55	3
-3900-04-28T12:48:43	0
-3900-05-05T07:42:43	1
-3900-05-12T11:36:49	2
-3900-05-20T13:40:39	3
-3900-05-27T21:52:41	0
-3900-06-03T13:38:03	1
-3900-06-11T01:40:53	2
-3900-06-19T06:25:07	3
-3900-06-26T06:51:03	0
-3900-07-02T22:14:32	1
-3900-07-10T18:39:15	2
-3900-07-18T21:40:29	3
-3900-07-25T16:25:22	0
-3900-08-01T10:35:30	1
-3900-08-09T13:33:28	2
-3900-08-17T10:59:23	3
-3900-08-24T02:56:00	0
-3900-08-31T03:08:55	1
-3900-09-08T08:40:08	2
-3900-09-15T22:13:12	3
-3900-09-22T14:30:49	0
-3900-09-29T23:19:26	1
-3900-10-08T02:19:32	2
-3900-10-15T07:32:44	3
-3900-10-22T03:18:04	0
-3900-10-29T21:16:59	1
-3900-11-06T17:33:53	2
-3900-11-13T15:30:16	3
-3900-11-20T17:25:44	0
-3900-11-28T18:33:01	1
-3900-12-06T06:07:51	2
-3900-12-12T22:56:15	3
-3900-12-20T08:46:16	0
-3900-12-28T13:06:17	1
-3899-01-04T16:12:37	2
-3899-01-11T06:50:01	3
-3899-01-19T00:45:02	0
-3899-01-27T04:00:13	1
-3899-02-03T00:17:15	2
-3899-02-09T16:09:16	3
-3899-02-17T16:30:59	0
-3899-02-25T15:15:20	1
-3899-03-04T07:08:42	2
-3899-03-11T03:38:59	3
-3899-03-19T07:21:24	0
-3899-03-26T23:26:49	1
-3899-04-02T13:50:48	2
-3899-04-09T17:40:55	3
-3899-04-17T20:57:50	0
-3899-04-25T05:29:56	1
-3899-05-01T21:37:44	2
-3899-05-09T10:06:45	3
-3899-05-17T09:25:02	0
-3899-05-24T10:35:02	1
-3899-05-31T07:40:59	2
-3899-06-08T04:19:36	3
-3899-06-15T20:59:47	0
-3899-06-22T16:04:35	1
-3899-06-29T20:49:59	2
-3899-07-07T23:21:29	3
-3899-07-15T08:00:25	0
-3899-07-21T23:25:46	1
-3899-07-29T13:11:14	2
-3899-08-06T18:00:03	3
-3899-08-13T18:42:59	0
-3899-08-20T09:54:34	1
-3899-08-28T07:58:38	2
-3899-09-05T10:55:55	3
-3899-09-12T05:22:42	0
-3899-09-19T00:10:11	1
-3899-09-27T03:45:21	2
-3899-10-05T01:02:06	3
-3899-10-11T16:16:08	0
-3899-10-18T17:51:45	1
-3899-10-26T22:49:57	2
-3899-11-03T11:51:10	3
-3899-11-10T03:39:06	0
-3899-11-17T13:40:35	1
-3899-11-25T15:43:30	2
-3899-12-02T19:48:35	3
-3899-12-09T15:41:55	0
-3899-12-17T09:51:57	1
-3899-12-25T05:32:09	2
-3898-01-01T02:00:04	3
-3898-01-08T04:27:41	0
-3898-01-16T04:51:26	1
-3898-01-23T16:09:56	2
-3898-01-30T07:47:08	3
-3898-02-06T17:55:42	0
-3898-02-14T21:32:00	1
-3898-02-22T00:15:13	2
-3898-02-28T14:28:12	3
-3898-03-08T08:04:41	0
-3898-03-16T11:18:08	1
-3898-03-23T06:54:14	2
-3898-03-29T23:07:56	3
-3898-04-06T22:49:46	0
-3898-04-14T22:07:23	1
-3898-04-21T13:22:27	2
-3898-04-28T10:33:12	3
-3898-05-06T13:55:04	0
-3898-05-14T06:28:53	1
-3898-05-20T20:50:56	2
-3898-05-28T01:10:58	3
-3898-06-05T04:51:13	0
-3898-06-12T13:17:32	1
-3898-06-19T06:17:02	2
-3898-06-26T19:00:55	3
-3898-07-04T19:04:41	0
-3898-07-11T19:43:49	1
-3898-07-18T18:19:19	2
-3898-07-26T15:20:18	3
-3898-08-03T08:15:02	0
-3898-08-10T03:01:38	1
-3898-08-17T09:14:58	2
-3898-08-25T12:32:44	3
-3898-09-01T20:24:32	0
-3898-09-08T12:14:10	1
-3898-09-16T02:53:14	2
-3898-09-24T08:26:43	3
