date	phase
-3400-01-03T09:17:25	1
-3400-01-11T09:09:50	2
-3400-01-19T09:09:57	3
-3400-01-26T00:53:49	0
-3400-02-01T22:04:44	1
-3400-02-10T01:20:20	2
-3400-02-17T18:13:08	3
-3400-02-24T08:33:03	0
-3400-03-03T12:29:39	1
-3400-03-11T15:47:06	2
-3400-03-19T00:13:41	3
-3400-03-25T16:37:56	0
-3400-04-02T04:22:02	1
-3400-04-10T04:08:41	2
-3400-04-17T04:39:35	3
-3400-04-24T01:57:54	0
-3400-05-01T21:23:14	1
-3400-05-09T14:34:03	2
-3400-05-16T09:06:25	3
-3400-05-23T13:18:27	0
-3400-05-31T14:55:44	1
-3400-06-07T23:43:16	2
-3400-06-14T15:05:10	3
-3400-06-22T03:15:46	0
-3400-06-30T08:01:52	1
-3400-07-07T08:34:14	2
-3400-07-13T23:52:34	3
-3400-07-21T20:00:08	0
-3400-07-29T23:40:00	1
-3400-08-05T18:01:31	2
-3400-08-12T12:21:00	3
-3400-08-20T14:51:44	0
-3400-08-28T13:08:04	1
-3400-09-04T04:37:19	2
-3400-09-11T04:47:04	3
-3400-09-19T10:14:34	0
-3400-09-27T00:16:54	1
-3400-10-03T16:26:28	2
-3400-10-11T00:38:04	3
-3400-10-19T04:13:01	0
-3400-10-26T09:28:20	1
-3400-11-02T05:20:23	2
-3400-11-09T22:21:31	3
-3400-11-17T19:29:24	0
-3400-11-24T17:24:21	1
-3400-12-01T19:14:26	2
-3400-12-09T19:40:15	3
-3400-12-17T07:48:20	0
-3400-12-24T00:54:46	1
-3400-12-31T10:07:56	2
-3399-01-08T14:24:18	3
-3399-01-15T17:37:24	0
-3399-01-22T08:50:09	1
-3399-01-30T01:47:26	2
-3399-02-07T05:23:04	3
-3399-02-14T01:40:05	0
-3399-02-20T18:00:10	1
-3399-02-28T17:35:32	2
-3399-03-08T16:34:59	3
-3399-03-15T08:43:26	0
-3399-03-22T05:11:02	1
-3399-03-30T08:42:33	2
-3399-04-07T00:43:33	3
-3399-04-13T15:39:26	0
-3399-04-20T18:56:00	1
