date	phase
-0400-01-02T22:40:09	0
-0400-01-09T15:26:37	1
-0400-01-17T02:06:22	2
-0400-01-25T06:24:53	3
-0400-02-01T09:53:20	0
-0400-02-08T00:34:04	1
-0400-02-15T19:27:52	2
-0400-02-23T22:41:34	3
-0400-03-01T18:59:37	0
-0400-03-08T11:24:53	1
-0400-03-16T12:20:28	2
-0400-03-24T11:01:20	3
-0400-03-31T02:39:48	0
-0400-04-07T00:16:54	1
-0400-04-15T03:53:58	2
-0400-04-22T19:40:40	3
-0400-04-29T09:56:31	0
-0400-05-06T15:02:51	1
-0400-05-14T17:46:40	2
-0400-05-22T01:33:29	3
-0400-05-28T17:59:00	0
-0400-06-05T07:19:30	1
-0400-06-13T05:57:21	2
-0400-06-20T06:00:38	3
-0400-06-27T03:48:01	0
-0400-07-05T00:36:48	1
-0400-07-12T16:38:33	2
-0400-07-19T10:37:38	3
-0400-07-26T16:03:50	0
-0400-08-03T18:18:01	1
-0400-08-11T02:16:09	2
-0400-08-17T17:01:33	3
-0400-08-25T06:59:58	0
-0400-09-02T11:32:44	1
-0400-09-09T11:29:14	2
-0400-09-16T02:34:23	3
-0400-09-24T00:20:25	0
-0400-10-02T03:18:46	1
-0400-10-08T21:03:15	2
-0400-10-15T16:02:20	3
-0400-10-23T19:15:58	0
-0400-10-31T16:42:54	1
-0400-11-07T07:36:39	2
-0400-11-14T09:19:10	3
-0400-11-22T14:22:45	0
-0400-11-30T03:27:20	1
-0400-12-06T19:27:41	2
-0400-12-14T05:25:25	3
-0400-12-22T07:59:27	0
-0400-12-29T11:59:37	1
-0399-01-05T08:31:21	2
-0399-01-13T02:42:52	3
-0399-01-20T22:47:58	0
-0399-01-27T19:18:08	1
-0399-02-03T22:30:57	2
-0399-02-11T23:15:49	3
-0399-02-19T10:26:32	0
-0399-02-26T02:28:17	1
-0399-03-05T13:12:28	2
-0399-03-13T17:18:03	3
-0399-03-20T19:27:39	0
-0399-03-27T10:26:19	1
-0399-04-04T04:25:39	2
-0399-04-12T07:44:55	3
-0399-04-19T02:51:58	0
-0399-04-25T19:56:11	1
-0399-05-03T19:52:19	2
-0399-05-11T18:29:51	3
-0399-05-18T09:44:24	0
-0399-05-25T07:33:05	1
-0399-06-02T10:58:59	2
-0399-06-10T02:15:21	3
-0399-06-16T17:03:18	0
-0399-06-23T21:43:48	1
-0399-07-02T01:07:06	2
-0399-07-09T08:12:10	3
-0399-07-16T01:40:08	0
-0399-07-23T14:35:33	1
-0399-07-31T13:54:29	2
-0399-08-07T13:40:52	3
-0399-08-14T12:23:17	0
-0399-08-22T09:36:27	1
-0399-08-30T01:30:00	2
-0399-09-05T19:59:51	3
-0399-09-13T01:55:54	0
-0399-09-21T05:26:07	1
-0399-09-28T12:27:04	2
-0399-10-05T04:17:20	3
-0399-10-12T18:37:53	0
-0399-10-21T00:17:22	1
-0399-10-27T23:20:21	2
-0399-11-03T15:24:17	3
-0399-11-11T13:54:06	0
-0399-11-19T16:40:40	1
-0399-11-26T10:24:10	2
-0399-12-03T05:45:59	3
-0399-12-11T10:00:00	0
-0399-12-19T05:53:33	1
-0399-12-25T21:31:37	2
-0398-01-01T23:11:01	3
-0398-01-10T04:42:35	0
-0398-01-17T16:00:00	1
-0398-01-24T08:36:18	2
-0398-01-31T18:40:56	3
-0398-02-08T20:30:41	0
-0398-02-15T23:36:24	1
-0398-02-22T19:53:13	2
-0398-03-02T14:35:55	3
-0398-03-10T09:05:56	0
-0398-03-17T05:39:23	1
-0398-03-24T07:55:58	2
-0398-04-01T09:09:41	3
-0398-04-08T19:00:48	0
-0398-04-15T11:18:18	1
-0398-04-22T21:13:38	2
-0398-05-01T01:12:03	3
-0398-05-08T03:05:32	0
-0398-05-14T17:49:41	1
-0398-05-22T11:47:31	2
-0398-05-30T14:24:24	3
-0398-06-06T10:11:20	0
-0398-06-13T02:30:01	1
-0398-06-21T03:07:28	2
-0398-06-29T01:05:21	3
-0398-07-05T17:09:35	0
-0398-07-12T14:23:03	1
-0398-07-20T18:30:33	2
-0398-07-28T09:49:58	3
-0398-08-04T00:57:10	0
-0398-08-11T05:59:45	1
-0398-08-19T09:24:50	2
-0398-08-26T17:19:20	3
-0398-09-02T10:37:05	0
-0398-09-10T00:56:34	1
-0398-09-17T23:38:20	2
-0398-09-25T00:21:26	3
-0398-10-01T23:06:31	0
-0398-10-09T21:51:47	1
-0398-10-17T13:08:20	2
-0398-10-24T07:54:55	3
-0398-10-31T14:49:50	0
-0398-11-08T18:51:18	1
-0398-11-16T01:46:11	2
-0398-11-22T17:04:27	3
-0398-11-30T09:10:30	0
-0398-12-08T14:04:51	1
-0398-12-15T13:17:18	2
-0398-12-22T04:42:19	3
-0398-12-30T04:34:27	0
-0397-01-07T06:09:33	1
-0397-01-13T23:37:16	2
-0397-01-20T19:04:36	3
-0397-01-28T23:14:09	0
-0397-02-05T18:23:38	1
-0397-02-12T09:06:13	2
-0397-02-19T11:39:52	3
-0397-02-27T15:52:55	0
-0397-03-07T02:55:30	1
-0397-03-13T18:26:02	2
-0397-03-21T05:23:47	3
-0397-03-29T05:56:25	0
-0397-04-05T08:40:46	1
-0397-04-12T04:24:54	2
-0397-04-19T23:09:34	3
-0397-04-27T17:22:55	0
-0397-05-04T13:06:16	1
-0397-05-11T15:40:24	2
-0397-05-19T16:08:55	3
-0397-05-27T02:35:03	0
-0397-06-02T17:50:38	1
-0397-06-10T04:31:21	2
-0397-06-18T07:51:06	3
-0397-06-25T10:16:47	0
-0397-07-02T00:28:12	1
-0397-07-09T18:59:55	2
-0397-07-17T21:53:02	3
-0397-07-24T17:29:10	0
-0397-07-31T10:14:31	1
-0397-08-08T10:55:06	2
-0397-08-16T09:57:59	3
-0397-08-23T01:20:51	0
-0397-08-29T23:52:23	1
-0397-09-07T03:49:29	2
-0397-09-14T20:04:53	3
-0397-09-21T10:53:50	0
-0397-09-28T17:21:20	1
-0397-10-06T20:52:55	2
-0397-10-14T04:38:54	3
-0397-10-20T22:46:52	0
-0397-10-28T13:53:11	1
-0397-11-05T12:58:54	2
-0397-11-12T12:31:36	3
-0397-11-19T13:03:54	0
-0397-11-27T11:53:34	1
-0397-12-05T03:11:14	2
-0397-12-11T20:46:14	3
-0397-12-19T05:17:48	0
-0397-12-27T09:12:49	1
-0396-01-03T15:10:20	2
-0396-01-10T06:15:32	3
-0396-01-17T22:44:27	0
-0396-01-26T03:40:16	1
-0396-02-02T01:14:44	2
-0396-02-08T17:25:52	3
-0396-02-16T16:30:47	0
-0396-02-24T17:55:41	1
-0396-03-02T10:03:07	2
