date	phase
-1700-01-02T08:32:12	1
-1700-01-09T12:27:52	2
-1700-01-17T13:48:38	3
-1700-01-25T00:03:18	0
-1700-01-31T16:00:01	1
-1700-02-08T03:24:24	2
-1700-02-16T07:47:13	3
-1700-02-23T09:04:41	0
-1700-03-02T00:15:45	1
-1700-03-09T18:52:40	2
-1700-03-17T21:58:05	3
-1700-03-24T16:34:01	0
-1700-03-31T10:00:17	1
-1700-04-08T10:28:27	2
-1700-04-16T08:22:15	3
-1700-04-22T23:31:37	0
-1700-04-29T21:49:09	1
-1700-05-08T01:31:20	2
-1700-05-15T15:49:37	3
-1700-05-22T06:51:45	0
-1700-05-29T12:09:46	1
-1700-06-06T15:21:50	2
-1700-06-13T21:34:18	3
-1700-06-20T15:25:40	0
-1700-06-28T05:06:55	1
-1700-07-06T03:44:56	2
-1700-07-13T02:56:30	3
-1700-07-20T02:05:52	0
-1700-07-28T00:03:31	1
-1700-08-04T14:59:35	2
-1700-08-11T09:12:53	3
-1700-08-18T15:40:58	0
-1700-08-26T19:36:52	1
-1700-09-03T01:45:26	2
-1700-09-09T17:31:24	3
-1700-09-17T08:32:01	0
-1700-09-25T14:05:36	1
-1700-10-02T12:36:51	2
-1700-10-09T04:45:39	3
-1700-10-17T03:57:43	0
-1700-10-25T06:10:19	1
-1700-10-31T23:43:47	2
-1700-11-07T19:24:28	3
-1700-11-16T00:05:36	0
-1700-11-23T19:14:20	1
-1700-11-30T10:56:15	2
-1700-12-07T13:15:16	3
-1700-12-15T18:42:23	0
-1700-12-23T05:20:10	1
-1700-12-29T22:09:15	2
-1699-01-06T09:10:16	3
-1699-01-14T10:23:59	0
-1699-01-21T12:59:42	1
-1699-01-28T09:40:50	2
-1699-02-05T05:18:01	3
-1699-02-12T22:57:03	0
-1699-02-19T19:06:57	1
-1699-02-26T22:04:00	2
-1699-03-06T23:48:31	3
-1699-03-14T08:52:35	0
-1699-03-21T00:51:58	1
-1699-03-28T11:41:04	2
-1699-04-05T15:37:05	3
-1699-04-12T16:56:05	0
-1699-04-19T07:33:18	1
-1699-04-27T02:23:54	2
-1699-05-05T04:32:16	3
-1699-05-11T23:55:49	0
-1699-05-18T16:27:52	1
-1699-05-26T17:37:44	2
-1699-06-03T14:55:54	3
-1699-06-10T06:44:48	0
-1699-06-17T04:36:04	1
-1699-06-25T08:43:41	2
-1699-07-02T23:23:07	3
-1699-07-09T14:25:07	0
-1699-07-16T20:22:10	1
-1699-07-24T23:18:52	2
-1699-08-01T06:35:17	3
-1699-08-08T00:05:09	0
-1699-08-15T15:17:25	1
-1699-08-23T13:17:50	2
-1699-08-30T13:23:45	3
-1699-09-06T12:43:34	0
-1699-09-14T12:02:01	1
-1699-09-22T02:38:19	2
-1699-09-28T20:52:51	3
-1699-10-06T04:40:13	0
-1699-10-14T08:49:57	1
-1699-10-21T15:09:21	2
-1699-10-28T06:12:03	3
-1699-11-04T23:11:27	0
-1699-11-13T03:56:17	1
-1699-11-20T02:36:14	2
-1699-11-26T18:13:24	3
-1699-12-04T18:40:46	0
-1699-12-12T19:56:07	1
-1699-12-19T12:57:56	2
-1699-12-26T09:05:30	3
-1698-01-03T13:23:50	0
-1698-01-11T08:03:33	1
-1698-01-17T22:37:14	2
-1698-01-25T02:05:56	3
-1698-02-02T06:06:01	0
-1698-02-09T16:26:59	1
-1698-02-16T08:14:35	2
-1698-02-23T20:03:41	3
-1698-03-03T20:10:02	0
-1698-03-10T22:06:08	1
-1698-03-17T18:32:10	2
-1698-03-25T13:52:29	3
-1698-04-02T07:30:11	0
-1698-04-09T02:31:50	1
-1698-04-16T06:00:26	2
-1698-04-24T06:47:07	3
-1698-05-01T16:28:59	0
-1698-05-08T07:23:40	1
-1698-05-15T18:54:31	2
-1698-05-23T22:17:30	3
-1698-05-30T23:54:51	0
-1698-06-06T14:13:08	1
-1698-06-14T09:18:24	2
-1698-06-22T11:59:39	3
-1698-06-29T06:54:46	0
-1698-07-06T00:10:32	1
-1698-07-14T01:05:44	2
-1698-07-21T23:38:37	3
-1698-07-28T14:41:26	0
-1698-08-04T13:54:35	1
-1698-08-12T17:51:35	2
-1698-08-20T09:19:45	3
-1698-08-27T00:17:07	0
-1698-09-03T07:25:25	1
-1698-09-11T10:44:32	2
-1698-09-18T17:36:36	3
-1698-09-25T12:17:31	0
-1698-10-03T03:59:31	1
-1698-10-11T02:37:11	2
-1698-10-18T01:26:32	3
-1698-10-25T02:43:29	0
-1698-11-02T02:04:44	1
-1698-11-09T16:37:18	2
-1698-11-16T09:53:01	3
-1698-11-23T19:08:14	0
-1698-12-01T23:26:43	1
-1698-12-09T04:31:45	2
-1698-12-15T19:43:28	3
-1698-12-23T12:49:45	0
-1698-12-31T17:48:53	1
-1697-01-07T14:41:41	2
-1697-01-14T07:17:01	3
-1697-01-22T06:52:46	0
-1697-01-30T07:51:40	1
-1697-02-05T23:42:20	2
-1697-02-12T20:31:46	3
-1697-02-21T00:06:51	0
-1697-02-28T17:37:11	1
-1697-03-07T08:09:30	2
