date	phase
-4000-01-03T02:01:41	1
-4000-01-10T08:32:27	2
-4000-01-18T10:44:06	3
-4000-01-25T17:58:31	0
-4000-02-01T08:22:14	1
-4000-02-08T22:48:15	2
-4000-02-17T02:12:16	3
-4000-02-24T01:23:47	0
-4000-03-01T16:12:38	1
-4000-03-09T13:21:10	2
-4000-03-17T14:36:18	3
-4000-03-24T07:42:59	0
-4000-03-31T02:23:50	1
-4000-04-08T04:03:51	2
-4000-04-16T00:04:06	3
-4000-04-22T14:16:44	0
-4000-04-29T15:22:48	1
-4000-05-07T18:44:56	2
-4000-05-15T07:14:16	3
-4000-05-21T22:18:29	0
-4000-05-29T07:16:39	1
-4000-06-06T09:01:31	2
-4000-06-13T13:13:11	3
-4000-06-20T08:42:19	0
-4000-06-28T01:50:41	1
-4000-07-05T22:26:29	2
-4000-07-12T19:24:19	3
-4000-07-19T21:55:55	0
-4000-07-27T22:14:37	1
-4000-08-04T10:47:19	2
-4000-08-11T03:11:04	3
-4000-08-18T14:00:04	0
-4000-08-26T18:49:43	1
-4000-09-02T22:15:47	2
-4000-09-09T13:34:27	3
-4000-09-17T08:27:46	0
-4000-09-25T13:28:46	1
-4000-10-02T09:16:26	2
-4000-10-09T02:54:16	3
-4000-10-17T04:14:23	0
-4000-10-25T04:33:26	1
-4000-10-31T20:06:55	2
-4000-11-07T18:49:03	3
-4000-11-15T23:34:34	0
-4000-11-23T15:37:49	1
-4000-11-30T06:50:43	2
-4000-12-07T12:33:12	3
-4000-12-15T16:35:18	0
-4000-12-22T23:23:27	1
-4000-12-29T17:29:14	2
-3999-01-06T07:09:53	3
-3999-01-14T06:11:56	0
-3999-01-21T05:06:28	1
-3999-01-28T04:19:22	2
-3999-02-05T01:32:29	3
-3999-02-12T16:32:27	0
-3999-02-19T10:09:29	1
-3999-02-26T15:56:48	2
-3999-03-06T18:31:32	3
-3999-03-14T00:35:54	0
-3999-03-20T15:48:59	1
-3999-03-28T05:00:17	2
-3999-04-05T09:15:11	3
-3999-04-12T07:37:26	0
-3999-04-18T23:14:16	1
-3999-04-26T19:46:27	2
-3999-05-04T21:27:41	3
-3999-05-11T14:44:50	0
-3999-05-18T09:29:25	1
-3999-05-26T11:51:11	2
-3999-06-03T07:29:43	3
-3999-06-09T22:49:44	0
-3999-06-16T23:27:17	1
-3999-06-25T04:15:46	2
-3999-07-02T16:04:13	3
-3999-07-09T08:30:48	0
-3999-07-16T17:26:41	1
-3999-07-24T19:59:35	2
-3999-08-01T00:00:48	3
-3999-08-07T20:21:48	0
-3999-08-15T14:38:27	1
-3999-08-23T10:31:38	2
-3999-08-30T08:06:26	3
-3999-09-06T10:51:08	0
-3999-09-14T12:55:15	1
-3999-09-21T23:49:44	2
-3999-09-28T17:02:55	3
-3999-10-06T04:01:32	0
-3999-10-14T09:40:05	1
-3999-10-21T11:56:14	2
-3999-10-28T03:26:39	3
-3999-11-04T22:59:58	0
-3999-11-13T02:59:15	1
-3999-11-19T22:44:48	2
-3999-11-26T15:45:12	3
-3999-12-04T17:58:28	0
-3999-12-12T16:12:34	1
-3999-12-19T08:13:22	2
-3999-12-26T06:08:43	3
-3998-01-03T11:07:15	0
-3998-01-11T01:37:29	1
-3998-01-17T16:45:18	2
-3998-01-24T22:19:45	3
-3998-02-02T01:30:42	0
-3998-02-09T08:05:00	1
-3998-02-16T01:13:47	2
-3998-02-23T15:31:44	3
-3998-03-03T13:14:56	0
-3998-03-10T12:45:21	1
-3998-03-17T10:46:42	2
-3998-03-25T08:44:54	3
-3998-04-01T23:00:09	0
-3998-04-08T17:01:52	1
-3998-04-15T22:22:17	2
-3998-04-24T01:10:10	3
-3998-05-01T07:34:01	0
-3998-05-07T22:26:46	1
-3998-05-15T12:26:03	2
-3998-05-23T16:20:06	3
-3998-05-30T15:41:05	0
-3998-06-06T06:33:23	1
-3998-06-14T04:40:01	2
-3998-06-22T06:02:04	3
-3998-06-29T00:03:47	0
-3998-07-05T18:38:11	1
-3998-07-13T22:12:40	2
-3998-07-21T18:07:17	3
-3998-07-28T09:26:15	0
-3998-08-04T11:11:24	1
-3998-08-12T16:01:26	2
-3998-08-20T04:30:47	3
-3998-08-26T20:31:51	0
-3998-09-03T07:29:17	1
-3998-09-11T09:07:55	2
-3998-09-18T13:24:36	3
-3998-09-25T09:49:58	0
-3998-10-03T05:38:09	1
-3998-10-11T00:39:13	2
-3998-10-17T21:28:23	3
-3998-10-25T01:16:39	0
-3998-11-02T03:18:36	1
-3998-11-09T13:53:05	2
-3998-11-16T05:41:39	3
-3998-11-23T18:07:04	0
-3998-12-01T22:32:38	1
-3998-12-09T00:34:35	2
-3998-12-15T15:02:22	3
-3998-12-23T11:14:08	0
-3998-12-31T14:06:20	1
-3997-01-07T09:07:17	2
-3997-01-14T02:07:34	3
-3997-01-22T03:39:11	0
-3997-01-30T01:36:59	1
-3997-02-05T16:25:49	2
-3997-02-12T15:07:42	3
-3997-02-20T18:46:23	0
-3997-02-28T09:30:24	1
-3997-03-06T23:38:40	2
-3997-03-14T05:53:59	3
-3997-03-22T08:18:41	0
-3997-03-29T14:50:46	1
-3997-04-05T07:52:15	2
-3997-04-12T22:09:04	3
-3997-04-20T20:12:02	0
-3997-04-27T19:06:30	1
-3997-05-04T18:00:15	2
-3997-05-12T15:29:41	3
-3997-05-20T06:37:35	0
-3997-05-26T23:56:15	1
-3997-06-03T06:38:04	2
-3997-06-11T09:18:31	3
-3997-06-18T16:06:17	0
-3997-06-25T06:54:57	1
-3997-07-02T21:59:42	2
-3997-07-11T02:36:47	3
-3997-07-18T01:25:11	0
-3997-07-24T17:16:26	1
-3997-08-01T15:50:33	2
-3997-08-09T18:15:11	3
-3997-08-16T11:22:04	0
-3997-08-23T07:34:43	1
-3997-08-31T11:14:16	2
-3997-09-08T07:22:24	3
-3997-09-14T22:26:56	0
-3997-09-22T01:32:45	1
-3997-09-30T06:30:39	2
-3997-10-07T17:49:22	3
-3997-10-14T10:42:46	0
-3997-10-21T22:04:34	1
-3997-10-29T23:48:02	2
-3997-11-06T02:10:28	3
