date	phase
-1400-01-03T06:13:40	3
-1400-01-10T10:07:27	0
-1400-01-17T01:34:28	1
-1400-01-24T18:42:40	2
-1400-02-01T23:08:22	3
-1400-02-08T19:23:28	0
-1400-02-15T12:14:54	1
-1400-02-23T11:50:50	2
-1400-03-03T11:41:02	3
-1400-03-10T03:32:55	0
-1400-03-17T00:31:57	1
-1400-03-25T04:05:32	2
-1400-04-01T20:22:14	3
-1400-04-08T11:15:57	0
-1400-04-15T14:40:17	1
-1400-04-23T18:28:39	2
-1400-05-01T02:23:19	3
-1400-05-07T19:16:25	0
-1400-05-15T06:41:55	1
-1400-05-23T06:38:19	2
-1400-05-30T07:08:27	3
-1400-06-06T04:28:01	0
-1400-06-14T00:10:46	1
-1400-06-21T16:58:17	2
-1400-06-28T12:00:46	3
-1400-07-05T15:51:02	0
-1400-07-13T18:09:01	1
-1400-07-21T02:21:57	2
-1400-07-27T18:18:32	3
-1400-08-04T06:13:32	0
-1400-08-12T11:25:26	1
-1400-08-19T11:45:37	2
-1400-08-26T03:13:50	3
-1400-09-02T23:38:24	0
-1400-09-11T03:03:08	1
-1400-09-17T21:46:01	2
-1400-09-24T15:45:55	3
-1400-10-02T18:58:00	0
-1400-10-10T16:32:59	1
-1400-10-17T08:33:35	2
-1400-10-24T08:21:45	3
-1400-11-01T14:14:39	0
-1400-11-09T03:49:22	1
-1400-11-15T20:06:55	2
-1400-11-23T04:26:16	3
-1400-12-01T07:42:45	0
-1400-12-08T13:04:27	1
-1400-12-15T08:32:47	2
-1400-12-23T02:08:36	3
-1400-12-30T22:32:13	0
-1399-01-06T20:48:41	1
-1399-01-13T22:08:00	2
-1399-01-21T23:00:27	3
-1399-01-29T10:40:50	0
-1399-02-05T03:51:45	1
-1399-02-12T12:58:37	2
-1399-02-20T17:06:38	3
-1399-02-27T20:28:28	0
-1399-03-06T11:17:20	1
-1399-03-14T04:39:07	2
-1399-03-22T07:41:04	3
-1399-03-29T04:25:30	0
-1399-04-04T20:11:52	1
-1399-04-12T20:18:37	2
-1399-04-20T18:52:35	3
-1399-04-27T11:15:44	0
-1399-05-04T07:29:58	1
-1399-05-12T11:10:14	2
-1399-05-20T03:17:22	3
-1399-05-26T18:00:16	0
-1399-06-02T21:38:26	1
-1399-06-11T00:54:26	2
-1399-06-18T09:44:32	3
-1399-06-25T01:53:58	0
-1399-07-02T14:25:49	1
-1399-07-10T13:38:39	2
-1399-07-17T15:15:15	3
-1399-07-24T12:11:52	0
-1399-08-01T09:05:13	1
-1399-08-09T01:40:41	2
-1399-08-15T21:04:52	3
-1399-08-23T01:44:53	0
-1399-08-31T04:29:17	1
-1399-09-07T13:12:54	2
-1399-09-14T04:38:24	3
-1399-09-21T18:32:30	0
-1399-09-29T23:22:50	1
-1399-10-07T00:19:08	2
-1399-10-13T15:13:06	3
-1399-10-21T13:33:50	0
-1399-10-29T16:27:53	1
-1399-11-05T11:03:58	2
-1399-11-12T05:28:29	3
-1399-11-20T09:12:19	0
-1399-11-28T06:36:27	1
-1399-12-04T21:42:09	2
-1399-12-11T22:59:53	3
-1399-12-20T03:52:26	0
-1399-12-27T17:17:37	1
-1398-01-03T08:37:37	2
-1398-01-10T18:24:24	3
-1398-01-18T20:20:32	0
-1398-01-26T00:55:54	1
-1398-02-01T20:12:50	2
-1398-02-09T14:01:23	3
-1398-02-17T09:52:55	0
-1398-02-24T06:41:59	1
-1398-03-03T08:38:37	2
-1398-03-11T08:30:09	3
-1398-03-18T20:23:23	0
-1398-03-25T12:06:00	1
-1398-04-01T21:54:09	2
-1398-04-10T00:58:12	3
-1398-04-17T04:25:44	0
-1398-04-23T18:34:27	1
-1398-05-01T11:55:14	2
-1398-05-09T14:54:35	3
-1398-05-16T11:04:10	0
-1398-05-23T03:15:48	1
-1398-05-31T02:38:26	2
-1398-06-08T02:09:28	3
-1398-06-14T17:36:42	0
-1398-06-21T14:54:33	1
-1398-06-29T17:54:16	2
-1398-07-07T10:59:47	3
-1398-07-14T01:18:42	0
-1398-07-21T05:50:53	1
-1398-07-29T09:17:02	2
-1398-08-05T18:11:28	3
-1398-08-12T11:08:49	0
-1398-08-19T23:58:21	1
-1398-08-28T00:06:17	2
-1398-09-04T00:53:08	3
-1398-09-10T23:38:47	0
-1398-09-18T20:32:55	1
-1398-09-26T13:46:09	2
-1398-10-03T08:21:20	3
-1398-10-10T14:51:50	0
-1398-10-18T17:59:01	1
-1398-10-26T02:06:07	2
-1398-11-01T17:40:23	3
-1398-11-09T08:26:00	0
-1398-11-17T14:01:15	1
-1398-11-24T13:20:47	2
-1398-12-01T05:23:05	3
-1398-12-09T03:31:09	0
-1398-12-17T06:39:18	1
-1398-12-23T23:51:57	2
-1398-12-30T19:26:24	3
-1397-01-07T22:41:47	0
-1397-01-15T19:03:08	1
-1397-01-22T09:55:00	2
-1397-01-29T11:24:54	3
-1397-02-06T16:13:20	0
-1397-02-14T03:39:00	1
-1397-02-20T19:41:37	2
-1397-02-28T04:43:39	3
-1397-03-08T06:48:20	0
-1397-03-15T09:38:18	1
-1397-03-22T05:33:20	2
-1397-03-29T22:37:15	3
-1397-04-06T18:11:53	0
-1397-04-13T14:26:04	1
-1397-04-20T16:08:47	2
-1397-04-28T16:06:51	3
-1397-05-06T03:06:30	0
-1397-05-12T19:24:34	1
-1397-05-20T04:15:14	2
-1397-05-28T08:12:14	3
-1397-06-04T10:42:25	0
-1397-06-11T01:49:27	1
-1397-06-18T18:26:31	2
-1397-06-26T22:14:19	3
-1397-07-03T18:09:43	0
-1397-07-10T10:50:49	1
-1397-07-18T10:37:12	2
-1397-07-26T10:07:59	3
-1397-08-02T02:22:24	0
-1397-08-08T23:29:23	1
-1397-08-17T03:53:07	2
-1397-08-24T20:15:46	3
-1397-08-31T11:55:46	0
-1397-09-07T16:18:28	1
-1397-09-15T20:55:16	2
-1397-09-23T05:12:51	3
-1397-09-29T23:14:59	0
-1397-10-07T12:50:22	1
-1397-10-15T12:42:34	2
-1397-10-22T13:36:36	3
-1397-10-29T12:42:59	0
-1397-11-06T11:14:20	1
-1397-11-14T02:51:52	2
-1397-11-20T22:04:24	3
-1397-11-28T04:31:47	0
-1397-12-06T08:49:56	1
-1397-12-13T15:22:13	2
-1397-12-20T07:15:02	3
-1397-12-27T22:15:59	0
-1396-01-05T03:23:53	1
-1396-01-12T02:14:34	2
-1396-01-18T17:47:11	3
-1396-01-26T16:37:50	0
-1396-02-03T17:56:59	1
-1396-02-10T11:32:52	2
-1396-02-17T06:11:40	3
-1396-02-25T09:57:16	0
-1396-03-04T04:34:39	1
-1396-03-10T19:40:04	2
-1396-03-17T20:39:07	3
-1396-03-26T01:05:24	0
-1396-04-02T11:59:19	1
-1396-04-09T03:26:38	2
-1396-04-16T12:50:07	3
-1396-04-24T13:49:05	0
-1396-05-01T17:13:32	1
-1396-05-08T12:02:15	2
-1396-05-16T05:58:42	3
-1396-05-24T00:35:58	0
-1396-05-30T21:34:05	1
-1396-06-06T22:36:06	2
-1396-06-14T23:11:32	3
-1396-06-22T10:08:01	0
-1396-06-29T02:29:47	1
-1396-07-06T11:52:07	2
-1396-07-14T15:46:11	3
-1396-07-21T19:05:00	0
-1396-07-28T09:35:14	1
-1396-08-05T03:49:07	2
-1396-08-13T07:12:49	3
-1396-08-20T04:01:25	0
-1396-08-26T20:15:32	1
-1396-09-03T21:39:39	2
-1396-09-11T21:05:11	3
-1396-09-18T13:30:53	0
-1396-09-25T11:18:03	1
-1396-10-03T16:11:12	2
-1396-10-11T08:59:00	3
-1396-10-18T00:08:46	0
-1396-10-25T06:21:05	1
-1396-11-02T10:10:37	2
-1396-11-09T18:46:38	3
-1396-11-16T12:25:22	0
-1396-11-24T03:48:17	1
-1396-12-02T02:34:11	2
-1396-12-09T02:54:17	3
-1396-12-16T02:30:16	0
-1396-12-24T01:26:51	1
-1396-12-31T16:32:32	2
-1395-01-07T10:20:07	3
-1395-01-14T18:00:31	0
-1395-01-22T21:18:18	1
-1395-01-30T03:44:29	2
-1395-02-05T18:13:25	3
-1395-02-13T10:08:53	0
-1395-02-21T14:02:48	1
-1395-02-28T12:28:38	2
-1395-03-07T03:31:59	3
-1395-03-15T02:07:53	0
-1395-03-23T03:03:43	1
-1395-03-29T19:38:21	2
-1395-04-05T14:49:31	3
-1395-04-13T17:25:30	0
-1395-04-21T12:27:28	1
-1395-04-28T02:24:46	2
-1395-05-05T04:16:17	3
-1395-05-13T07:43:05	0
-1395-05-20T18:59:28	1
-1395-05-27T10:00:02	2
-1395-06-03T19:47:04	3
-1395-06-11T20:48:17	0
-1395-06-18T23:55:20	1
-1395-06-25T19:24:37	2
-1395-07-03T13:05:50	3
-1395-07-11T08:36:05	0
-1395-07-18T04:47:49	1
-1395-07-25T07:19:33	2
-1395-08-02T07:39:06	3
-1395-08-09T19:17:21	0
-1395-08-16T11:11:59	1
-1395-08-23T22:03:09	2
-1395-09-01T02:23:49	3
-1395-09-08T05:22:51	0
-1395-09-14T20:27:16	1
-1395-09-22T15:27:16	2
-1395-09-30T19:51:56	3
-1395-10-07T15:33:11	0
-1395-10-14T09:17:22	1
-1395-10-22T10:46:27	2
-1395-10-30T10:43:22	3
-1395-11-06T02:19:53	0
-1395-11-13T01:38:05	1
-1395-11-21T06:29:00	2
-1395-11-28T22:23:43	3
-1395-12-05T13:52:20	0
-1395-12-12T20:41:01	1
-1395-12-21T00:37:33	2
-1395-12-28T07:14:44	3
-1394-01-04T02:02:12	0
-1394-01-11T17:05:52	1
-1394-01-19T15:43:00	2
-1394-01-26T14:15:19	3
-1394-02-02T14:42:20	0
-1394-02-10T13:12:18	1
-1394-02-18T03:24:38	2
-1394-02-24T20:35:21	3
-1394-03-04T03:59:32	0
-1394-03-12T07:20:39	1
-1394-03-19T12:22:00	2
-1394-03-26T03:19:43	3
-1394-04-02T18:07:02	0
-1394-04-10T22:23:12	1
-1394-04-17T19:41:17	2
-1394-04-24T11:25:17	3
-1394-05-02T09:04:24	0
-1394-05-10T10:04:37	1
-1394-05-17T02:28:53	2
-1394-05-23T21:43:38	3
-1394-06-01T00:24:34	0
-1394-06-08T18:56:42	1
-1394-06-15T09:41:40	2
-1394-06-22T10:58:57	3
-1394-06-30T15:22:37	0
-1394-07-08T01:58:42	1
-1394-07-14T18:09:15	2
-1394-07-22T03:33:10	3
-1394-07-30T05:21:50	0
-1394-08-06T08:19:35	1
-1394-08-13T04:40:01	2
-1394-08-20T23:00:20	3
-1394-08-28T18:15:08	0
-1394-09-04T15:06:35	1
-1394-09-11T17:59:26	2
-1394-09-19T19:52:13	3
-1394-09-27T06:21:32	0
-1394-10-03T23:19:43	1
-1394-10-11T10:30:21	2
-1394-10-19T16:02:48	3
-1394-10-26T18:02:03	0
-1394-11-02T09:47:36	1
-1394-11-10T05:38:55	2
-1394-11-18T09:42:12	3
-1394-11-25T05:19:32	0
-1394-12-01T23:00:51	1
-1394-12-10T01:40:27	2
-1394-12-17T23:53:01	3
-1394-12-24T16:03:23	0
-1394-12-31T15:00:39	1
-1393-01-08T20:22:58	2
-1393-01-16T10:30:35	3
-1393-01-23T02:14:03	0
-1393-01-30T09:06:56	1
-1393-02-07T12:17:13	2
-1393-02-14T18:08:25	3
-1393-02-21T12:19:23	0
-1393-03-01T04:00:57	1
-1393-03-09T01:04:46	2
-1393-03-15T23:45:29	3
-1393-03-22T23:06:45	0
-1393-03-30T22:13:03	1
-1393-04-07T11:15:24	2
-1393-04-14T04:37:37	3
-1393-04-21T11:19:05	0
-1393-04-29T14:38:29	1
-1393-05-06T19:36:12	2
-1393-05-13T10:10:29	3
-1393-05-21T01:12:06	0
-1393-05-29T04:52:00	1
-1393-06-05T02:56:32	2
-1393-06-11T17:51:12	3
-1393-06-19T16:27:50	0
-1393-06-27T16:57:35	1
-1393-07-04T10:07:39	2
-1393-07-11T04:54:34	3
-1393-07-19T08:27:26	0
-1393-07-27T03:12:14	1
-1393-08-02T18:06:07	2
-1393-08-09T20:01:30	3
-1393-08-18T00:31:11	0
-1393-08-25T11:58:52	1
-1393-09-01T03:52:05	2
-1393-09-08T14:55:19	3
-1393-09-16T16:08:34	0
-1393-09-23T19:50:38	1
-1393-09-30T16:16:29	2
-1393-10-08T12:14:56	3
-1393-10-16T06:52:56	0
-1393-10-23T03:37:00	1
-1393-10-30T07:37:00	2
-1393-11-07T09:59:06	3
-1393-11-14T20:16:01	0
-1393-11-21T12:19:19	1
-1393-11-29T01:18:02	2
-1393-12-07T06:04:33	3
-1393-12-14T07:56:20	0
-1393-12-20T22:52:18	1
-1393-12-28T19:58:25	2
-1392-01-05T22:55:04	3
-1392-01-12T17:55:29	0
-1392-01-19T11:41:28	1
-1392-01-27T14:07:46	2
-1392-02-04T11:41:34	3
-1392-02-11T02:43:43	0
-1392-02-18T02:34:05	1
-1392-02-26T06:38:34	2
-1392-03-04T20:31:07	3
-1392-03-11T11:10:34	0
-1392-03-18T18:51:24	1
-1392-03-26T20:54:23	2
-1392-04-03T02:20:07	3
-1392-04-09T20:09:41	0
-1392-04-17T11:49:34	1
-1392-04-25T08:46:13	2
-1392-05-02T06:36:01	3
-1392-05-09T06:26:32	0
-1392-05-17T04:51:38	1
-1392-05-24T18:30:19	2
-1392-05-31T10:58:21	3
-1392-06-07T18:32:42	0
-1392-06-15T21:24:13	1
-1392-06-23T02:47:30	2
-1392-06-29T17:03:51	3
-1392-07-07T08:44:44	0
-1392-07-15T12:50:41	1
-1392-07-22T10:37:05	2
-1392-07-29T02:12:45	3
-1392-08-06T01:00:37	0
-1392-08-14T02:34:55	1
-1392-08-20T19:03:26	2
-1392-08-27T15:14:40	3
-1392-09-04T18:49:08	0
-1392-09-12T14:15:59	1
-1392-09-19T04:59:00	2
-1392-09-26T08:16:38	3
-1392-10-04T13:02:16	0
-1392-10-12T00:01:31	1
-1392-10-18T16:50:00	2
-1392-10-26T04:35:56	3
-1392-11-03T06:10:26	0
-1392-11-10T08:29:06	1
-1392-11-17T06:33:33	2
-1392-11-25T02:38:23	3
-1392-12-02T21:02:17	0
-1392-12-09T16:33:22	1
-1392-12-16T21:49:00	2
-1392-12-25T00:10:27	3
-1391-01-01T09:15:35	0
-1391-01-08T01:06:43	1
-1391-01-15T14:09:37	2
-1391-01-23T18:58:56	3
-1391-01-30T19:12:41	0
-1391-02-06T10:46:26	1
-1391-02-14T07:01:00	2
-1391-02-22T09:43:35	3
-1391-03-01T03:36:46	0
-1391-03-07T21:55:56	1
-1391-03-15T23:33:42	2
-1391-03-23T20:18:31	3
-1391-03-30T11:14:17	0
-1391-04-06T10:52:13	1
-1391-04-14T14:51:05	2
-1391-04-22T03:34:21	3
-1391-04-28T18:51:26	0
-1391-05-06T01:45:42	1
-1391-05-14T04:13:17	2
-1391-05-21T08:49:13	3
-1391-05-28T03:18:29	0
-1391-06-04T18:29:08	1
-1391-06-12T15:37:40	2
-1391-06-19T13:28:53	3
-1391-06-26T13:31:46	0
-1391-07-04T12:25:10	1
-1391-07-12T01:38:52	2
-1391-07-18T18:57:11	3
-1391-07-26T02:25:03	0
-1391-08-03T06:28:28	1
-1391-08-10T11:10:14	2
-1391-08-17T02:31:12	3
-1391-08-24T18:26:05	0
