date	phase
-3600-01-01T11:05:32	2
-3600-01-08T12:32:22	3
-3600-01-16T17:16:27	0
-3600-01-24T03:59:12	1
-3600-01-30T20:01:03	2
-3600-02-07T05:25:27	3
-3600-02-15T06:49:00	0
-3600-02-22T09:33:41	1
-3600-02-29T05:09:43	2
-3600-03-07T22:52:38	3
-3600-03-15T17:35:36	0
-3600-03-22T14:01:02	1
-3600-03-29T15:29:42	2
-3600-04-06T15:56:36	3
-3600-04-14T02:26:48	0
-3600-04-20T18:46:01	1
-3600-04-28T03:52:48	2
-3600-05-06T07:48:56	3
-3600-05-13T10:23:49	0
-3600-05-20T01:14:14	1
-3600-05-27T18:40:12	2
-3600-06-04T22:03:15	3
-3600-06-11T18:21:26	0
-3600-06-18T10:46:35	1
-3600-06-26T11:26:48	2
-3600-07-04T10:34:18	3
-3600-07-11T03:02:32	0
-3600-07-18T00:24:17	1
-3600-07-26T05:08:39	2
-3600-08-02T21:28:08	3
-3600-08-09T13:01:55	0
-3600-08-16T18:21:28	1
-3600-08-24T22:32:31	2
-3600-09-01T06:57:54	3
-3600-09-08T00:51:08	0
-3600-09-15T15:37:07	1
-3600-09-23T14:43:12	2
-3600-09-30T15:28:59	3
-3600-10-07T14:52:56	0
-3600-10-15T14:00:10	1
-3600-10-23T05:07:37	2
-3600-10-29T23:43:45	3
-3600-11-06T07:02:15	0
-3600-11-14T11:02:16	1
-3600-11-21T17:26:34	2
-3600-11-28T08:34:33	3
-3600-12-06T00:30:23	0
-3600-12-14T04:54:58	1
-3600-12-21T03:35:59	2
-3600-12-27T18:48:39	3
-3599-01-04T17:58:28	0
-3599-01-12T18:49:47	1
-3599-01-19T11:56:34	2
-3599-01-26T06:55:15	3
-3599-02-03T10:15:20	0
-3599-02-11T04:50:21	1
-3599-02-17T19:17:03	2
-3599-02-24T20:59:01	3
-3599-03-05T00:43:55	0
-3599-03-12T11:39:00	1
-3599-03-19T02:45:11	2
-3599-03-26T12:42:14	3
-3599-04-03T13:20:22	0
-3599-04-10T16:26:06	1
-3599-04-17T11:31:53	2
-3599-04-25T05:33:50	3
-3599-05-03T00:20:43	0
-3599-05-09T20:40:32	1
-3599-05-16T22:34:10	2
-3599-05-24T22:58:03	3
-3599-06-01T10:11:11	0
-3599-06-08T01:59:47	1
-3599-06-15T12:20:58	2
-3599-06-23T16:14:17	3
-3599-06-30T19:25:28	0
-3599-07-07T09:56:59	1
-3599-07-15T04:46:17	2
-3599-07-23T08:32:11	3
-3599-07-30T04:43:32	0
-3599-08-05T21:41:33	1
-3599-08-13T23:09:38	2
-3599-08-21T22:57:23	3
-3599-08-28T14:45:58	0
-3599-09-04T13:35:10	1
-3599-09-12T18:20:28	2
-3599-09-20T10:53:09	3
-3599-09-27T02:03:31	0
-3599-10-04T08:57:30	1
-3599-10-12T12:47:25	2
-3599-10-19T20:22:32	3
-3599-10-26T14:46:20	0
-3599-11-03T06:15:13	1
-3599-11-11T05:01:48	2
-3599-11-18T04:09:50	3
-3599-11-25T04:41:54	0
-3599-12-03T03:29:57	1
-3599-12-10T18:11:46	2
-3599-12-17T11:20:16	3
-3599-12-24T19:26:25	0
-3598-01-01T22:48:07	1
-3598-01-09T04:20:27	2
-3598-01-15T18:57:18	3
-3598-01-23T10:38:18	0
-3598-01-31T14:47:38	1
-3598-02-07T12:15:23	2
-3598-02-14T03:50:53	3
-3598-02-22T01:59:45	0
-3598-03-02T02:58:08	1
-3598-03-08T19:03:58	2
-3598-03-15T14:37:19	3
-3598-03-23T17:08:16	0
-3598-03-31T11:42:23	1
-3598-04-07T01:54:18	2
-3598-04-14T03:42:51	3
-3598-04-22T07:33:24	0
-3598-04-29T18:01:30	1
-3598-05-06T09:46:13	2
-3598-05-13T19:21:43	3
-3598-05-21T20:47:44	0
-3598-05-28T23:16:32	1
-3598-06-04T19:30:10	2
-3598-06-12T13:23:17	3
-3598-06-20T08:44:21	0
-3598-06-27T04:53:06	1
-3598-07-04T07:48:30	2
-3598-07-12T08:54:50	3
-3598-07-19T19:44:44	0
-3598-07-26T12:09:46	1
-3598-08-02T23:09:51	2
-3598-08-11T04:21:22	3
-3598-08-18T06:26:55	0
-3598-08-24T22:07:49	1
-3598-09-01T17:27:43	2
-3598-09-09T21:58:07	3
-3598-09-16T17:21:48	0
-3598-09-23T11:21:39	1
-3598-10-01T13:32:49	2
-3598-10-09T12:35:11	3
-3598-10-16T04:36:15	0
-3598-10-23T03:50:36	1
-3598-10-31T09:18:39	2
-3598-11-07T23:56:37	3
-3598-11-14T15:59:12	0
-3598-11-21T22:52:08	1
-3598-11-30T02:41:02	2
-3598-12-07T08:29:59	3
-3598-12-14T03:26:01	0
-3598-12-21T19:00:43	1
-3598-12-29T16:40:51	2
-3597-01-05T15:07:42	3
-3597-01-12T15:15:11	0
-3597-01-20T14:26:52	1
-3597-01-28T03:31:13	2
-3597-02-03T20:54:10	3
-3597-02-11T03:58:47	0
-3597-02-19T07:38:09	1
-3597-02-26T12:03:59	2
-3597-03-05T03:00:10	3
-3597-03-12T17:56:51	0
-3597-03-20T21:51:37	1
-3597-03-27T19:18:24	2
-3597-04-03T10:39:09	3
-3597-04-11T08:57:38	0
-3597-04-19T09:14:16	1
-3597-04-26T02:08:58	2
-3597-05-02T21:00:28	3
-3597-05-11T00:21:16	0
-3597-05-18T18:22:30	1
-3597-05-25T09:27:40	2
-3597-06-01T10:54:26	3
-3597-06-09T15:24:14	0
-3597-06-17T02:02:54	1
-3597-06-23T18:10:38	2
-3597-07-01T04:28:43	3
-3597-07-09T05:43:05	0
-3597-07-16T09:04:28	1
-3597-07-23T05:17:46	2
-3597-07-31T00:48:27	3
-3597-08-07T19:17:26	0
-3597-08-14T16:20:33	1
-3597-08-21T19:35:52	2
-3597-08-29T22:05:09	3
-3597-09-06T08:12:11	0
-3597-09-13T00:50:48	1
-3597-09-20T13:05:14	2
-3597-09-28T18:17:01	3
-3597-10-05T20:20:15	0
-3597-10-12T11:32:20	1
-3597-10-20T08:34:41	2
-3597-10-28T11:47:26	3
-3597-11-04T07:26:10	0
-3597-11-11T00:58:51	1
-3597-11-19T04:04:28	2
-3597-11-27T01:40:27	3
-3597-12-03T17:27:46	0
-3597-12-10T16:59:53	1
-3597-12-18T21:47:59	2
-3597-12-26T11:44:56	3
-3596-01-02T02:51:22	0
-3596-01-09T10:39:19	1
-3596-01-17T12:51:46	2
-3596-01-24T18:35:12	3
-3596-01-31T12:25:47	0
-3596-02-08T04:40:27	1
-3596-02-16T01:10:28	2
-3596-02-22T23:23:16	3
-3596-02-29T23:01:40	0
-3596-03-08T21:59:38	1
-3596-03-16T11:05:57	2
-3596-03-23T03:43:07	3
-3596-03-30T11:11:32	0
-3596-04-07T14:00:45	1
-3596-04-14T19:15:17	2
-3596-04-21T09:14:08	3
-3596-04-29T01:02:07	0
-3596-05-07T04:26:42	1
-3596-05-14T02:28:44	2
-3596-05-20T17:25:59	3
-3596-05-28T16:20:33	0
-3596-06-05T17:06:39	1
-3596-06-12T09:48:25	2
-3596-06-19T05:21:57	3
-3596-06-27T08:42:51	0
-3596-07-05T03:55:02	1
-3596-07-11T18:21:25	2
-3596-07-18T21:22:06	3
-3596-07-27T01:34:34	0
-3596-08-03T13:02:07	1
-3596-08-10T05:05:32	2
-3596-08-17T16:53:51	3
-3596-08-25T18:06:08	0
-3596-09-01T21:04:59	1
-3596-09-08T18:29:34	2
-3596-09-16T14:35:49	3
-3596-09-24T09:18:57	0
-3596-10-01T05:04:14	1
-3596-10-08T10:19:17	2
-3596-10-16T12:31:28	3
-3596-10-23T22:29:11	0
-3596-10-30T14:03:40	1
-3596-11-07T03:44:29	2
-3596-11-15T08:29:51	3
-3596-11-22T09:28:55	0
-3596-11-29T00:44:47	1
-3596-12-06T21:41:41	2
-3596-12-15T00:43:43	3
-3596-12-21T18:45:23	0
-3596-12-28T13:15:45	1
-3595-01-05T15:09:17	2
-3595-01-13T12:30:17	3
-3595-01-20T03:04:28	0
-3595-01-27T03:23:06	1
-3595-02-04T07:10:56	2
-3595-02-11T20:19:23	3
-3595-02-18T11:15:00	0
-3595-02-25T18:50:02	1
-3595-03-05T21:03:01	2
-3595-03-13T01:29:42	3
-3595-03-19T20:01:55	0
-3595-03-27T11:21:03	1
-3595-04-04T08:30:25	2
-3595-04-11T05:38:55	3
-3595-04-18T06:06:56	0
-3595-04-26T04:31:12	1
-3595-05-03T17:56:28	2
-3595-05-10T10:23:36	3
-3595-05-17T18:10:39	0
-3595-05-25T21:35:13	1
-3595-06-02T02:16:48	2
-3595-06-08T17:08:18	3
-3595-06-16T08:45:50	0
-3595-06-24T13:33:57	1
-3595-07-01T10:39:38	2
-3595-07-08T02:59:08	3
-3595-07-16T01:55:50	0
-3595-07-24T03:38:51	1
-3595-07-30T20:02:17	2
-3595-08-06T16:38:40	3
-3595-08-14T20:48:18	0
-3595-08-22T15:33:02	1
-3595-08-29T06:53:21	2
-3595-09-05T10:16:20	3
-3595-09-13T15:38:05	0
-3595-09-21T01:33:00	1
-3595-09-27T19:12:09	2
-3595-10-05T07:09:33	3
-3595-10-13T08:37:45	0
-3595-10-20T10:15:44	1
-3595-10-27T08:47:20	2
-3595-11-04T05:27:38	3
-3595-11-11T22:52:48	0
-3595-11-18T18:23:28	1
-3595-11-25T23:33:55	2
-3595-12-04T02:35:10	3
-3595-12-11T10:27:41	0
-3595-12-18T02:36:01	1
-3595-12-25T15:25:59	2
-3594-01-02T20:22:15	3
-3594-01-09T19:56:09	0
-3594-01-16T11:32:43	1
-3594-01-24T07:54:17	2
-3594-02-01T09:58:36	3
-3594-02-08T03:57:04	0
-3594-02-14T21:55:57	1
-3594-02-23T00:00:47	2
-3594-03-02T19:47:31	3
-3594-03-09T11:10:12	0
-3594-03-16T10:25:40	1
-3594-03-24T14:45:47	2
-3594-04-01T02:49:51	3
-3594-04-07T18:24:03	0
-3594-04-15T01:23:34	1
-3594-04-23T03:41:58	2
-3594-04-30T08:16:57	3
-3594-05-07T02:41:31	0
-3594-05-14T18:34:43	1
-3594-05-22T15:05:03	2
-3594-05-29T13:21:03	3
-3594-06-05T13:14:14	0
-3594-06-13T13:03:35	1
-3594-06-21T01:37:36	2
-3594-06-27T19:15:59	3
-3594-07-05T03:00:52	0
-3594-07-13T07:33:30	1
-3594-07-20T12:01:59	2
-3594-07-27T03:18:30	3
-3594-08-03T20:11:06	0
-3594-08-12T00:54:56	1
-3594-08-18T22:40:27	2
-3594-08-25T14:39:52	3
-3594-09-02T15:39:22	0
-3594-09-10T16:17:58	1
-3594-09-17T09:34:23	2
-3594-09-24T06:01:04	3
-3594-10-02T11:26:49	0
-3594-10-10T05:10:02	1
-3594-10-16T20:42:38	2
-3594-10-24T00:58:29	3
-3594-11-01T05:43:05	0
-3594-11-08T15:19:02	1
-3594-11-15T08:18:44	2
-3594-11-22T21:51:40	3
-3594-11-30T21:26:56	0
-3594-12-07T23:04:47	1
-3594-12-14T20:47:22	2
-3594-12-22T18:24:27	3
-3594-12-30T10:20:56	0
-3593-01-06T05:22:42	1
-3593-01-13T10:23:24	2
-3593-01-21T12:50:37	3
-3593-01-28T20:33:30	0
-3593-02-04T11:31:27	1
-3593-02-12T00:54:59	2
-3593-02-20T04:22:06	3
-3593-02-27T04:33:11	0
-3593-03-05T18:53:59	1
-3593-03-13T15:49:52	2
-3593-03-21T16:54:04	3
-3593-03-28T11:10:00	0
-3593-04-04T04:39:06	1
-3593-04-12T06:37:22	2
-3593-04-20T02:43:22	3
-3593-04-26T17:33:08	0
-3593-05-03T17:26:39	1
-3593-05-11T21:02:14	2
-3593-05-19T10:21:09	3
-3593-05-26T01:02:05	0
-3593-06-02T09:19:57	1
-3593-06-10T11:00:45	2
-3593-06-17T16:36:37	3
-3593-06-24T10:51:29	0
-3593-07-02T03:47:50	1
-3593-07-10T00:28:04	2
-3593-07-16T22:40:09	3
-3593-07-23T23:49:34	0
-3593-07-31T23:52:25	1
-3593-08-08T13:12:25	2
-3593-08-15T05:56:22	3
-3593-08-22T15:57:36	0
-3593-08-30T20:12:03	1
-3593-09-07T01:03:53	2
-3593-09-13T15:43:45	3
-3593-09-21T10:27:20	0
-3593-09-29T15:03:38	1
-3593-10-06T12:06:05	2
-3593-10-13T04:44:10	3
-3593-10-21T05:59:35	0
-3593-10-29T06:47:45	1
-3593-11-04T22:37:41	2
-3593-11-11T20:41:25	3
-3593-11-20T01:04:39	0
-3593-11-27T18:32:48	1
-3593-12-04T09:02:59	2
-3593-12-11T14:33:04	3
-3593-12-19T18:16:14	0
-3593-12-27T02:38:11	1
-3592-01-02T19:42:20	2
-3592-01-10T09:05:49	3
-3592-01-18T08:31:14	0
-3592-01-25T08:17:40	1
