date	phase
-2300-01-01T09:08:45	1
-2300-01-08T00:05:26	2
-2300-01-15T07:28:22	3
-2300-01-23T10:27:22	0
-2300-01-30T16:22:45	1
-2300-02-06T10:33:35	2
-2300-02-14T01:56:48	3
-2300-02-21T23:35:02	0
-2300-02-28T21:37:45	1
-2300-03-07T21:38:37	2
-2300-03-15T19:52:37	3
-2300-03-23T09:43:48	0
-2300-03-30T02:25:02	1
-2300-04-06T09:43:21	2
-2300-04-14T12:24:30	3
-2300-04-21T17:39:58	0
-2300-04-28T08:11:53	1
-2300-05-05T23:08:23	2
-2300-05-14T02:54:35	3
-2300-05-21T00:33:11	0
-2300-05-27T16:12:38	1
-2300-06-04T14:02:36	2
-2300-06-12T15:05:52	3
-2300-06-19T07:37:29	0
-2300-06-26T03:24:05	1
-2300-07-04T06:09:45	2
-2300-07-12T01:08:24	3
-2300-07-18T15:56:26	0
-2300-07-25T18:20:09	1
-2300-08-02T22:43:14	2
-2300-08-10T09:37:20	3
-2300-08-17T02:13:59	0
-2300-08-24T12:58:56	1
-2300-09-01T14:41:11	2
-2300-09-08T17:24:30	3
-2300-09-15T14:53:01	0
-2300-09-23T10:22:36	1
-2300-10-01T05:16:19	2
-2300-10-08T01:27:00	3
-2300-10-15T05:58:44	0
-2300-10-23T08:29:29	1
-2300-10-30T18:13:47	2
-2300-11-06T10:34:54	3
-2300-11-13T23:15:29	0
-2300-11-22T04:48:52	1
-2300-11-29T05:42:16	2
-2300-12-05T21:21:04	3
-2300-12-13T17:53:31	0
-2300-12-21T21:27:30	1
-2300-12-28T15:55:59	2
-2299-01-04T09:59:13	3
-2299-01-12T12:24:47	0
-2299-01-20T09:49:13	1
-2299-01-27T01:09:23	2
-2299-02-03T00:28:09	3
-2299-02-11T05:12:59	0
-2299-02-18T18:23:58	1
-2299-02-25T09:46:18	2
-2299-03-04T16:32:36	3
-2299-03-12T19:19:01	0
-2299-03-20T00:17:44	1
-2299-03-26T18:29:18	2
-2299-04-03T09:38:43	3
-2299-04-11T06:41:41	0
-2299-04-18T04:50:21	1
-2299-04-25T04:16:31	2
-2299-05-03T02:55:20	3
-2299-05-10T16:03:31	0
-2299-05-17T09:25:49	1
-2299-05-24T16:05:34	2
-2299-06-01T19:28:35	3
-2299-06-09T00:24:09	0
-2299-06-15T15:29:01	1
-2299-06-23T06:29:32	2
-2299-07-01T10:39:15	3
-2299-07-08T08:39:21	0
-2299-07-15T00:21:37	1
-2299-07-22T23:14:47	2
-2299-07-31T00:09:11	3
-2299-08-06T17:31:03	0
-2299-08-13T13:09:49	1
-2299-08-21T17:18:54	2
-2299-08-29T11:55:06	3
-2299-09-05T03:29:09	0
-2299-09-12T06:18:57	1
-2299-09-20T11:17:51	2
-2299-09-27T22:02:53	3
-2299-10-04T14:59:00	0
-2299-10-12T03:03:00	1
-2299-10-20T04:02:18	2
-2299-10-27T06:51:12	3
-2299-11-03T04:22:15	0
-2299-11-11T01:20:19	1
-2299-11-18T18:51:46	2
-2299-11-25T14:57:02	3
-2299-12-02T19:42:51	0
-2299-12-10T22:40:16	1
-2299-12-18T07:27:16	2
-2299-12-24T23:12:13	3
-2298-01-01T12:28:59	0
-2298-01-09T17:06:19	1
-2298-01-16T17:46:32	2
-2298-01-23T08:30:27	3
-2298-01-31T05:35:24	0
