date	phase
-1000-01-01T09:32:43	0
-1000-01-08T17:53:29	1
-1000-01-15T11:20:25	2
-1000-01-23T01:29:33	3
-1000-01-31T00:27:35	0
-1000-02-07T01:00:11	1
-1000-02-13T23:21:55	2
-1000-02-21T21:22:07	3
-1000-03-01T12:27:41	0
-1000-03-08T06:53:45	1
-1000-03-15T12:28:42	2
-1000-03-23T15:12:03	3
-1000-03-30T21:57:18	0
-1000-04-06T12:52:31	1
-1000-04-14T02:40:33	2
-1000-04-22T06:15:16	3
-1000-04-29T05:35:59	0
-1000-05-05T20:16:59	1
-1000-05-13T17:33:59	2
-1000-05-21T18:28:35	3
-1000-05-28T12:16:18	0
-1000-06-04T06:16:14	1
-1000-06-12T08:37:44	2
-1000-06-20T04:11:59	3
-1000-06-26T19:03:24	0
-1000-07-03T19:33:23	1
-1000-07-11T23:28:00	2
-1000-07-19T11:59:40	3
-1000-07-26T03:09:42	0
-1000-08-02T12:12:42	1
-1000-08-10T13:51:34	2
-1000-08-17T18:40:23	3
-1000-08-24T13:42:16	0
-1000-09-01T07:34:07	1
-1000-09-09T03:38:12	2
-1000-09-16T01:18:49	3
-1000-09-23T03:22:12	0
-1000-10-01T04:19:49	1
-1000-10-08T16:35:03	2
-1000-10-15T09:09:31	3
-1000-10-22T20:03:50	0
-1000-10-31T00:47:44	1
-1000-11-07T04:30:49	2
-1000-11-13T19:19:35	3
-1000-11-21T14:50:29	0
-1000-11-29T19:09:36	1
-1000-12-06T15:25:52	2
-1000-12-13T08:23:33	3
-1000-12-21T10:13:41	0
-1000-12-29T10:01:04	1
-0999-01-05T01:36:30	2
-0999-01-12T00:06:49	3
-0999-01-20T04:41:02	0
-0999-01-27T20:52:40	1
-0999-02-03T11:29:52	2
-0999-02-10T17:35:33	3
-0999-02-18T20:57:23	0
-0999-02-26T04:17:20	1
-0999-03-04T21:35:48	2
-0999-03-12T11:43:49	3
-0999-03-20T10:20:10	0
-0999-03-27T09:31:19	1
-0999-04-03T08:21:36	2
-0999-04-11T05:33:35	3
-0999-04-18T20:48:47	0
-0999-04-25T14:07:53	1
-0999-05-02T20:11:22	2
-0999-05-10T22:17:17	3
-0999-05-18T05:02:31	0
-0999-05-24T19:38:26	1
-0999-06-01T09:25:38	2
-0999-06-09T13:16:15	3
-0999-06-16T12:06:58	0
-0999-06-23T03:21:24	1
-0999-07-01T00:15:17	2
-0999-07-09T02:06:17	3
-0999-07-15T19:16:02	0
-0999-07-22T14:15:49	1
-0999-07-30T16:28:33	2
-0999-08-07T12:46:42	3
-0999-08-14T03:35:17	0
-0999-08-21T04:55:43	1
-0999-08-29T09:21:25	2
-0999-09-05T21:43:30	3
-0999-09-12T13:50:07	0
-0999-09-19T23:19:56	1
-0999-09-28T01:47:17	2
-0999-10-05T05:43:43	3
-0999-10-12T02:21:36	0
-0999-10-19T20:34:59	1
-0999-10-27T16:47:37	2
-0999-11-03T13:43:59	3
-0999-11-10T17:10:58	0
-0999-11-18T18:45:28	1
-0999-11-26T05:58:02	2
-0999-12-02T22:36:26	3
-0999-12-10T10:02:20	0
-0999-12-18T15:21:27	1
-0999-12-25T17:25:53	2
-0998-01-01T08:56:36	3
-0998-01-09T04:14:16	0
-0998-01-17T08:22:43	1
-0998-01-24T03:31:04	2
-0998-01-30T21:00:59	3
-0998-02-07T22:31:39	0
-0998-02-15T21:05:14	1
-0998-02-22T12:34:32	2
-0998-03-01T10:53:07	3
-0998-03-09T15:24:23	0
-0998-03-17T05:55:27	1
-0998-03-23T21:02:16	2
-0998-03-31T02:26:00	3
-0998-04-08T05:48:24	0
-0998-04-15T11:59:22	1
-0998-04-22T05:34:37	2
-0998-04-29T19:15:57	3
-0998-05-07T17:32:37	0
-0998-05-14T16:37:38	1
-0998-05-21T15:07:19	2
-0998-05-29T12:38:08	3
