date	phase
-0500-01-04T05:26:39	1
-0500-01-12T09:48:20	2
-0500-01-19T16:52:18	3
-0500-01-26T11:15:59	0
-0500-02-03T01:42:09	1
-0500-02-11T00:27:53	2
-0500-02-17T23:54:14	3
-0500-02-24T23:14:47	0
-0500-03-04T21:38:25	1
-0500-03-12T11:58:39	2
-0500-03-19T05:59:11	3
-0500-03-26T12:08:45	0
-0500-04-03T15:31:40	1
-0500-04-10T21:04:25	2
-0500-04-17T12:14:00	3
-0500-04-25T02:15:08	0
-0500-05-03T06:25:21	1
-0500-05-10T04:39:21	2
-0500-05-16T19:48:45	3
-0500-05-24T17:20:38	0
-0500-06-01T18:17:04	1
-0500-06-08T11:35:15	2
-0500-06-15T05:51:03	3
-0500-06-23T08:45:02	0
-0500-07-01T03:39:21	1
-0500-07-07T18:43:46	2
-0500-07-14T19:12:38	3
-0500-07-22T23:44:54	0
-0500-07-30T11:19:06	1
-0500-08-06T03:02:23	2
-0500-08-13T12:07:28	3
-0500-08-21T13:56:52	0
-0500-08-28T18:08:07	1
-0500-09-04T13:33:33	2
-0500-09-12T07:51:56	3
-0500-09-20T03:21:06	0
-0500-09-27T01:02:44	1
-0500-10-04T03:09:02	2
-0500-10-12T04:49:16	3
-0500-10-19T16:04:59	0
-0500-10-26T09:05:03	1
-0500-11-02T19:59:15	2
-0500-11-11T01:03:18	3
-0500-11-18T04:06:10	0
-0500-11-24T19:15:48	1
-0500-12-02T15:07:20	2
-0500-12-10T18:55:16	3
-0500-12-17T15:13:42	0
-0500-12-24T08:15:41	1
-0499-01-01T10:43:07	2
-0499-01-09T09:22:30	3
-0499-01-16T01:26:18	0
-0499-01-23T00:03:17	1
-0499-01-31T04:56:58	2
-0499-02-07T20:06:03	3
-0499-02-14T11:06:28	0
-0499-02-21T17:48:05	1
-0499-03-01T20:42:53	2
-0499-03-09T03:32:36	3
-0499-03-15T20:56:26	0
-0499-03-23T12:11:07	1
-0499-03-31T09:42:13	2
-0499-04-07T08:47:30	3
-0499-04-14T07:40:55	0
-0499-04-22T05:59:22	1
-0499-04-29T20:07:48	2
-0499-05-06T13:19:29	3
-0499-05-13T19:49:47	0
-0499-05-21T22:26:05	1
-0499-05-29T04:33:04	2
-0499-06-04T18:44:34	3
-0499-06-12T09:31:06	0
-0499-06-20T13:07:18	1
-0499-06-27T11:48:14	2
-0499-07-04T02:31:28	3
-0499-07-12T00:35:28	0
-0499-07-20T01:51:20	1
-0499-07-26T18:56:35	2
-0499-08-02T13:46:34	3
-0499-08-10T16:41:49	0
-0499-08-18T12:36:25	1
-0499-08-25T03:06:10	2
-0499-09-01T04:58:21	3
-0499-09-09T09:17:34	0
-0499-09-16T21:37:13	1
-0499-09-23T13:16:26	2
-0499-09-30T23:46:53	3
-0499-10-09T01:36:01	0
-0499-10-16T05:31:51	1
-0499-10-23T02:01:33	2
-0499-10-30T21:02:36	3
-0499-11-07T16:43:23	0
-0499-11-14T13:19:12	1
-0499-11-21T17:18:15	2
-0499-11-29T18:55:35	3
-0499-12-07T05:59:57	0
-0499-12-13T22:03:13	1
-0499-12-21T10:28:39	2
-0499-12-29T15:15:16	3
-0498-01-05T17:17:52	0
-0498-01-12T08:30:17	1
-0498-01-20T04:34:37	2
-0498-01-28T08:09:09	3
-0498-02-04T02:59:35	0
-0498-02-10T20:55:24	1
-0498-02-18T22:29:28	2
-0498-02-26T20:44:35	3
-0498-03-05T11:43:14	0
-0498-03-12T11:07:56	1
-0498-03-20T15:05:46	2
-0498-03-28T05:19:47	3
-0498-04-03T20:10:12	0
-0498-04-11T02:47:15	1
-0498-04-19T05:29:54	2
-0498-04-26T11:03:22	3
-0498-05-03T05:01:20	0
-0498-05-10T19:30:03	1
-0498-05-18T17:21:17	2
-0498-05-25T15:26:22	3
-0498-06-01T14:58:37	0
