date	phase
-3000-01-01T21:26:09	2
-3000-01-09T18:57:35	3
-3000-01-17T10:36:41	0
-3000-01-24T05:40:25	1
-3000-01-31T10:28:41	2
-3000-02-08T13:14:49	3
-3000-02-15T20:20:38	0
-3000-02-22T11:45:35	1
-3000-03-02T00:40:20	2
-3000-03-10T04:30:56	3
-3000-03-17T04:14:14	0
-3000-03-23T18:58:06	1
-3000-03-31T15:39:33	2
-3000-04-08T16:45:19	3
-3000-04-15T11:04:15	0
-3000-04-22T04:31:29	1
-3000-04-30T06:45:53	2
-3000-05-08T02:26:55	3
-3000-05-14T17:46:16	0
-3000-05-21T17:18:29	1
-3000-05-29T21:25:48	2
-3000-06-06T10:15:09	3
-3000-06-13T01:27:39	0
-3000-06-20T09:32:13	1
-3000-06-28T11:27:35	2
-3000-07-05T16:56:07	3
-3000-07-12T11:21:11	0
-3000-07-20T04:34:51	1
-3000-07-28T00:54:53	2
-3000-08-03T23:27:32	3
-3000-08-11T00:25:00	0
-3000-08-19T01:06:19	1
-3000-08-26T13:49:24	2
-3000-09-02T07:00:26	3
-3000-09-09T16:51:11	0
-3000-09-17T21:28:14	1
-3000-09-25T02:01:25	2
-3000-10-01T16:47:38	3
-3000-10-09T11:45:07	0
-3000-10-17T16:03:23	1
-3000-10-24T13:18:33	2
-3000-10-31T05:37:14	3
-3000-11-08T07:24:27	0
-3000-11-16T07:30:39	1
-3000-11-22T23:43:18	2
-3000-11-29T21:25:07	3
-3000-12-08T02:06:18	0
-3000-12-15T19:07:03	1
-3000-12-22T09:40:10	2
-3000-12-29T15:12:35	3
-2999-01-06T18:39:02	0
-2999-01-14T03:06:20	1
-2999-01-20T19:46:38	2
-2999-01-28T09:37:41	3
-2999-02-05T08:26:09	0
-2999-02-12T08:34:14	1
-2999-02-19T06:37:31	2
-2999-02-27T03:32:04	3
-2999-03-06T19:22:56	0
-2999-03-13T13:05:04	1
-2999-03-20T18:34:22	2
-2999-03-28T20:12:44	3
-2999-04-05T03:55:49	0
-2999-04-11T18:17:43	1
-2999-04-19T07:46:07	2
-2999-04-27T11:11:52	3
-2999-05-04T10:59:14	0
-2999-05-11T01:38:47	1
-2999-05-18T22:15:05	2
-2999-05-27T00:09:04	3
-2999-06-02T17:45:36	0
-2999-06-09T12:10:48	1
-2999-06-17T13:55:42	2
-2999-06-25T10:56:55	3
-2999-07-02T01:30:37	0
-2999-07-09T02:25:08	1
-2999-07-17T06:23:46	2
-2999-07-24T19:52:07	3
-2999-07-31T11:16:29	0
-2999-08-07T20:18:05	1
-2999-08-15T22:49:02	2
-2999-08-23T03:39:51	3
-2999-08-29T23:36:08	0
-2999-09-06T17:04:53	1
-2999-09-14T14:09:16	2
-2999-09-21T11:24:52	3
-2999-09-28T14:27:09	0
-2999-10-06T15:10:56	1
-2999-10-14T03:41:56	2
-2999-10-20T20:11:25	3
-2999-10-28T07:20:20	0
-2999-11-05T12:17:31	1
-2999-11-12T15:22:24	2
-2999-11-19T06:40:31	3
-2999-11-27T01:30:20	0
-2999-12-05T06:08:24	1
-2999-12-12T01:33:50	2
-2999-12-18T19:01:06	3
-2999-12-26T19:54:00	0
-2998-01-03T19:32:33	1
-2998-01-10T10:47:16	2
-2998-01-17T09:02:23	3
-2998-01-25T13:11:13	0
-2998-02-02T04:43:10	1
-2998-02-08T19:32:04	2
-2998-02-16T00:30:25	3
-2998-02-24T04:09:28	0
-2998-03-03T10:50:11	1
-2998-03-10T04:19:45	2
-2998-03-17T17:08:27	3
-2998-03-25T16:18:02	0
-2998-04-01T15:24:14	1
-2998-04-08T13:51:46	2
-2998-04-16T10:24:29	3
-2998-04-24T01:59:56	0
-2998-04-30T19:55:00	1
-2998-05-08T00:59:33	2
-2998-05-16T03:26:08	3
-2998-05-23T10:15:58	0
-2998-05-30T01:43:35	1
-2998-06-06T14:30:44	2
-2998-06-14T19:15:49	3
-2998-06-21T18:17:23	0
-2998-06-28T10:01:55	1
-2998-07-06T06:41:44	2
-2998-07-14T09:15:21	3
-2998-07-21T03:02:08	0
-2998-07-27T21:51:28	1
-2998-08-05T00:50:42	2
-2998-08-12T21:17:38	3
-2998-08-19T13:02:12	0
-2998-08-26T13:50:59	1
-2998-09-03T19:22:51	2
-2998-09-11T07:39:09	3
-2998-09-18T00:27:58	0
-2998-09-25T09:47:28	1
-2998-10-03T12:39:20	2
-2998-10-10T16:47:06	3
-2998-10-17T13:24:59	0
-2998-10-25T08:06:18	1
-2998-11-02T03:45:52	2
-2998-11-09T01:12:47	3
-2998-11-16T04:01:59	0
-2998-11-24T06:07:45	1
-2998-12-01T16:34:46	2
-2998-12-08T09:32:00	3
-2998-12-15T20:14:56	0
-2998-12-24T01:23:02	1
-2998-12-31T03:18:26	2
-2997-01-06T18:27:18	3
-2997-01-14T13:22:40	0
-2997-01-22T16:38:56	1
-2997-01-29T12:14:26	2
-2997-02-05T04:44:54	3
-2997-02-13T06:10:22	0
-2997-02-21T03:57:44	1
-2997-02-27T19:50:48	2
-2997-03-06T17:03:56	3
-2997-03-14T21:28:44	0
-2997-03-22T12:03:06	1
-2997-03-29T02:55:54	2
-2997-04-05T07:40:31	3
-2997-04-13T10:49:27	0
-2997-04-20T17:54:57	1
-2997-04-27T10:38:42	2
-2997-05-05T00:15:50	3
-2997-05-12T22:27:51	0
-2997-05-19T22:41:52	1
-2997-05-26T20:16:29	2
-2997-06-03T18:01:08	3
-2997-06-11T09:01:34	0
-2997-06-18T03:42:30	1
-2997-06-25T08:51:46	2
-2997-07-03T11:57:43	3
-2997-07-10T19:07:21	0
-2997-07-17T10:24:58	1
-2997-07-25T00:42:36	2
-2997-08-02T05:13:12	3
-2997-08-09T05:09:46	0
-2997-08-15T20:16:06	1
-2997-08-23T19:04:44	2
-2997-08-31T21:01:45	3
-2997-09-07T15:24:07	0
-2997-09-14T10:15:05	1
-2997-09-22T14:28:00	2
-2997-09-30T10:40:25	3
-2997-10-07T02:07:08	0
-2997-10-14T04:17:14	1
-2997-10-22T09:16:51	2
-2997-10-29T21:40:50	3
-2997-11-05T13:41:35	0
-2997-11-13T00:58:00	1
-2997-11-21T02:17:32	2
-2997-11-28T06:11:02	3
-2997-12-05T02:27:03	0
-2997-12-12T22:07:02	1
-2997-12-20T16:41:47	2
-2997-12-27T13:02:04	3
-2996-01-03T16:24:19	0
-2996-01-11T17:48:12	1
-2996-01-19T04:09:27	2
-2996-01-25T19:30:58	3
-2996-02-02T07:10:14	0
-2996-02-10T10:49:59	1
-2996-02-17T12:56:04	2
-2996-02-24T02:56:28	3
-2996-03-02T22:12:02	0
-2996-03-11T00:40:49	1
-2996-03-17T19:52:11	2
-2996-03-24T12:20:09	3
-2996-04-01T13:05:25	0
-2996-04-09T11:19:21	1
-2996-04-16T02:11:00	2
-2996-04-23T00:17:16	3
-2996-05-01T03:37:58	0
-2996-05-08T19:12:04	1
-2996-05-15T09:12:19	2
-2996-05-22T14:57:24	3
-2996-05-30T17:40:02	0
-2996-06-07T01:13:32	1
-2996-06-13T18:07:16	2
-2996-06-21T08:09:28	3
-2996-06-29T06:57:50	0
-2996-07-06T06:42:03	1
-2996-07-13T05:44:22	2
-2996-07-21T03:20:52	3
-2996-07-28T19:19:08	0
-2996-08-04T13:07:43	1
-2996-08-11T20:20:25	2
