date	phase
-1500-01-04T11:08:51	0
-1500-01-12T01:11:28	1
-1500-01-20T00:27:35	2
-1500-01-27T01:00:14	3
-1500-02-02T23:27:02	0
-1500-02-10T20:58:24	1
-1500-02-18T12:49:08	2
-1500-02-25T06:48:10	3
-1500-03-04T12:39:03	0
-1500-03-12T14:58:23	1
-1500-03-19T22:20:00	2
-1500-03-26T12:49:09	3
-1500-04-03T02:38:08	0
-1500-04-11T06:23:05	1
-1500-04-18T05:45:50	2
-1500-04-24T20:19:53	3
-1500-05-02T17:13:08	0
-1500-05-10T18:54:01	1
-1500-05-17T12:14:18	2
-1500-05-24T06:18:58	3
-1500-06-01T08:11:15	0
-1500-06-09T04:40:28	1
-1500-06-15T19:00:53	2
-1500-06-22T19:21:43	3
-1500-06-30T23:14:13	0
-1500-07-08T12:18:38	1
-1500-07-15T03:15:59	2
-1500-07-22T11:37:19	3
-1500-07-30T13:55:27	0
-1500-08-06T18:48:08	1
-1500-08-13T13:53:14	2
-1500-08-21T06:42:49	3
-1500-08-29T03:46:20	0
-1500-09-05T01:23:15	1
-1500-09-12T03:20:32	2
-1500-09-20T03:33:10	3
-1500-09-27T16:30:31	0
-1500-10-04T09:19:17	1
-1500-10-11T19:36:07	2
-1500-10-20T00:18:44	3
-1500-10-27T04:12:09	0
-1500-11-02T19:34:12	1
-1500-11-10T14:05:43	2
-1500-11-18T18:53:02	3
-1500-11-25T15:08:37	0
-1500-12-02T08:31:39	1
-1500-12-10T09:37:56	2
-1500-12-18T09:46:02	3
-1500-12-25T01:36:45	0
-1500-12-31T23:57:47	1
-1499-01-09T04:30:30	2
-1499-01-16T20:37:59	3
-1499-01-23T11:47:48	0
-1499-01-30T17:13:11	1
-1499-02-07T21:03:57	2
-1499-02-15T04:11:00	3
-1499-02-21T21:55:09	0
-1499-03-01T11:24:43	1
-1499-03-09T10:25:27	2
-1499-03-16T09:40:09	3
-1499-03-23T08:24:49	0
-1499-03-31T05:30:13	1
-1499-04-07T20:44:51	2
-1499-04-14T14:29:20	3
-1499-04-21T19:55:07	0
