date	phase
-0800-01-04T23:00:22	3
-0800-01-11T14:35:49	0
-0800-01-18T14:44:52	1
-0800-01-26T19:55:41	2
-0800-02-03T08:49:52	3
-0800-02-10T00:52:13	0
-0800-02-17T08:37:37	1
-0800-02-25T11:31:17	2
-0800-03-03T15:51:12	3
-0800-03-10T11:02:36	0
-0800-03-18T03:15:46	1
-0800-03-25T23:47:39	2
-0800-04-01T21:15:10	3
-0800-04-08T21:46:33	0
-0800-04-16T21:20:11	1
-0800-04-24T09:22:16	2
-0800-05-01T02:16:59	3
-0800-05-08T09:51:43	0
-0800-05-16T13:41:18	1
-0800-05-23T17:18:29	2
-0800-05-30T08:13:10	3
-0800-06-06T23:47:27	0
-0800-06-15T03:44:06	1
-0800-06-22T00:38:35	2
-0800-06-28T16:20:38	3
-0800-07-06T15:23:56	0
-0800-07-14T15:31:37	1
-0800-07-21T08:13:50	2
-0800-07-28T03:50:04	3
-0800-08-05T07:52:54	0
-0800-08-13T01:30:13	1
-0800-08-19T16:47:34	2
-0800-08-26T19:25:45	3
-0800-09-04T00:13:40	0
-0800-09-11T10:13:48	1
-0800-09-18T03:02:48	2
-0800-09-25T14:53:53	3
-0800-10-03T15:43:36	0
-0800-10-10T18:18:10	1
-0800-10-17T15:41:50	2
-0800-10-25T12:42:38	3
-0800-11-02T06:04:57	0
-0800-11-09T02:24:19	1
-0800-11-16T07:08:27	2
-0800-11-24T10:28:53	3
-0800-12-01T19:08:21	0
-0800-12-08T11:20:34	1
-0800-12-16T00:58:09	2
-0800-12-24T06:00:34	3
-0800-12-31T06:41:06	0
-0799-01-06T21:54:49	1
-0799-01-14T19:47:30	2
-0799-01-22T21:58:34	3
-0799-01-29T16:37:21	0
-0799-02-05T10:38:05	1
-0799-02-13T13:50:19	2
-0799-02-21T09:59:29	3
-0799-02-28T01:16:17	0
-0799-03-07T01:30:01	1
-0799-03-15T05:51:12	2
-0799-03-22T18:23:41	3
-0799-03-29T09:26:24	0
-0799-04-05T17:56:46	1
-0799-04-13T19:26:18	2
-0799-04-21T00:05:05	3
-0799-04-27T18:12:22	0
-0799-05-05T11:05:52	1
